NRScode,Sample,Station,Longitude,Latitude,SampleDateLocal,Year,Month,Day,Time_24hr,SampleDateUTC,Biomass_mgm3,ZoopAbundance_m3,CopeAbundance_m3,AvgTotalLengthCopepod_mm,HerbivoreCarnivoreCopepodRatio,NoCopepodSpecies_Sample,ShannonCopepodDiversity,CopepodEvenness,PhytoBiomassCarbon_pg_L,AbundancePhyto_cells_L,DiatomDinoflagellateRatio,AvgCellVol_um3,NoPhytoSpecies_Sample,ShannonPhytoDiversity,PhytoEvenness,NoDiatomSpecies_Sample,ShannonDiatomDiversity,DiatomEvenness,NoDinoSpecies_Sample,ShannonDinoDiversity,DinoflagellateEvenness,CTD_SST_C,CTDChla_mgm3,CTDSalinity_psu,MLD_temp,MLD_sal,DCM,Silicate_umolL,Phosphate_umolL,Ammonium_umolL,Nitrate_umolL,Nitrite_umolL,Oxygen_umolL,TCO2_umolkg,TAlkalinity_umolkg,Salinity_PSU,Chla_mgm3
DAR20140118_0030,466,Darwin,130.76805,-12.4,2014-01-18T10:00:00Z,2014,1,18,10:00:00,2014-01-18T00:30:00Z,606.52675,0,,,,,,,,,,,,,,,,,,,,,,,,,,6.63333333333333,0.66,0.17,1.66666666666667,,,,2261.17333333333,33.9375,1.402
DAR20150505,623,Darwin,130.76805,-12.4,2015-05-06T08:24:00Z,2015,5,6,08:24:00,2015-05-05T22:54:00Z,30.54985,7316.2497,5053.0058,0.601813261107508,0.973684186122759,30,1.71468657682459,0.50414203717475,,,,,,,,,,,,,,28.6428333333333,0.67378,33.72292,5.966,5.966,12.925,5.23333333333333,0.116666666666667,0,0.233333333333333,,,,2251.27,33.7446666666667,0.678
ESP20110818,71,Esperance,121.85,-33.93333,2011-08-18T10:20:00Z,2011,8,18,10:20:00,2011-08-18T02:20:00Z,6.29464,1794.3543,1191.8704,0.658616087698873,0.927419385873512,34,1.6070626935441,0.455728415267189,41146273.6518739,464812,0.43864999491715,2889.0946438345,13,1.33818489571299,0.521719811668078,10,1.24866844561492,0.542289815657272,3,1.02315259622158,0.931313627905974,16.3502916666667,0.403666666666667,35.3829083333333,40,46,35,0,0.0616666666666667,,0.1,,,,2322.2275,35.3771666666667,0.4
ESP20120910,364,Esperance,121.85,-33.93333,2012-09-10T12:51:00Z,2012,9,10,12:51:00,2012-09-10T04:51:00Z,6.56183,3119.8177,1567.7673,0.700228217288686,0.93089441029645,32,1.70523300779313,0.492026240780664,8652017.89841168,132965.94,0.250655117051474,1804.53311072609,8,1.8580618870083,0.893538890017222,4,1.27986358973996,0.923226426966093,3,0.83052196582647,0.755973671870487,16.5617285714286,0.2505,35.4457428571429,49,30,49,0,0.08,,0.1,,,,2325.815,35.4501666666667,0.374
ESP20100629,88,Esperance,121.85,-33.93333,2010-06-29T10:05:00Z,2010,6,29,10:05:00,2010-06-29T02:05:00Z,7.15122,4382.4153,1445.9616,0.841766358752651,0.987381685235066,28,1.3445198062863,0.403492583417578,50531038.218256,617012,0.723034645205614,2075.83912966036,16,1.95549976223698,0.705297452359711,13,1.86061639214351,0.725400829739934,3,0.810236611549872,0.737509146681904,17.5820153846154,0.253707692307692,35.7941307692308,38,11,42,0.0333333333333333,0.101666666666667,,0.1,,,,2351.61,35.8105,0.417
ESP20091216,50,Esperance,121.85,-33.93333,2009-12-16T09:45:00Z,2009,12,16,09:45:00,2009-12-16T01:45:00Z,7.3241,3265.1998,2660.0968,0.691919056034857,0.952380969694017,17,0.660876629885611,0.233260453637232,21650061.3548061,138710,0.9021673948428,4002.31161069858,9,1.00795933885421,0.458742064534978,8,0.978781844643755,0.470694571126566,1,0,,19.1732642857143,0.145742857142857,35.7453214285714,42,37,34,0,0.0783333333333333,,0.116666666666667,,,,2345.335,35.7411666666667,0.2
KAI20120415,59,Kangaroo Island,136.44733,-35.83217,2012-04-15T10:42:00Z,2012,4,15,10:42:00,2012-04-15T01:12:00Z,1.77876,802.7451,641.8425,0.813114758617552,0.973093850827365,26,1.89213912210296,0.580749864229615,6445633.48998821,180105,0.152523571824737,432.053642430804,9,2.09113888262042,0.951718319642859,2,0.693147180559945,1,7,1.80951425584928,0.929906376575379,19.4247846153846,0.630838461538462,36.0751307692308,60,17,46,0.366666666666667,0.134444444444444,0.178888888888889,0.611111111111111,,,,2355.97666666667,35.912625,0.106
KAI20120116,10,Kangaroo Island,136.44733,-35.83217,2012-01-17T07:00:00Z,2012,1,17,07:00:00,2012-01-16T20:30:00Z,3.46735,963.2935,375.5573,0.634375159833492,0.990243752722187,37,2.21358760867605,0.613026289222697,12625712.7286359,278815,0.199852289512555,664.92545404659,10,1.88881048211094,0.820299969741801,6,1.47393534902498,0.822618981140364,4,0.883668950046913,0.637432406010119,18.3169642857143,0.2289,35.7825357142857,43,48,101,0.4,0.146666666666667,0.173333333333333,1.13333333333333,,,,2346.61714285714,35.7332222222222,0.143
KAI20101213,85,Kangaroo Island,136.44733,-35.83217,2010-12-14T08:30:00Z,2010,12,14,08:30:00,2010-12-13T22:00:00Z,4.15517,1580.7344,1296.0608,0.730922237753658,0.993007031726913,20,0.568357573643429,0.189722419009479,30624857.5697861,264010,0.69581038552321,3304.69167406538,13,1.76071508668609,0.68645218337902,11,1.69795308203119,0.708101434325636,2,0.302746209141995,0.436770454577089,17.0915857142857,0.993478571428571,36.0503285714286,52,27,72,0.0666666666666667,0.0822222222222222,0.104444444444444,0.366666666666667,,,,2365.74833333333,36.116,0.419
KAI20110319,55,Kangaroo Island,136.44733,-35.83217,2011-03-20T09:40:00Z,2011,3,20,09:40:00,2011-03-19T23:10:00Z,0.31826,276.7979,191.9261,0.71276563637875,0.992536966967664,27,1.19512251772484,0.362615798752727,49310937.3351795,467662,0.668725732439111,2480.73326286934,15,1.6942730061088,0.625643130773282,8,1.31532341201847,0.6325368545614,7,1.5101115871352,0.776043841422132,17.24065,2.24312857142857,35.7548928571429,15,15,25,0.466666666666667,0.276666666666667,0.0677777777777778,2.35555555555556,,,,2340.32833333333,35.5474444444444,
KAI20110123,189,Kangaroo Island,136.44733,-35.83217,2011-01-24T07:40:00Z,2011,1,24,07:40:00,2011-01-23T21:10:00Z,,0,,,,,,,40269028.6923791,222464,0.225383034379671,4841.08575989823,6,1.27700277683252,0.712708819885679,5,1.1813974463154,0.734043504995273,1,0,,18.2489,0.8674,35.9238923076923,29,37,,0.3,0.0355555555555556,,0.677777777777778,,,,2360.83833333333,,
KAI20090114,176,Kangaroo Island,136.44733,-35.83217,2009-01-15T08:00:00Z,2009,1,15,08:00:00,2009-01-14T21:30:00Z,,0,,,,,,,41514164.3441171,164416,0.224791418355185,7734.1304724601,8,1.23506754250221,0.593941939576952,7,1.18862922438875,0.61083458810562,1,0,,18.2728428571429,0.0352714285714286,35.8673785714286,65,50,48,,,,,,,,2356.535,,
KAI20150629,640,Kangaroo Island,136.44733,-35.83217,2015-06-30T07:35:00Z,2015,6,30,07:35:00,2015-06-29T22:05:00Z,0.43496,734.1395,680.3875,0.808997693778131,0.993288717976699,37,2.02719891167584,0.561408196120234,13934679.9057086,320695.01,0.0355940355940356,342.837407866651,6,1.44213624500455,0.804871563271755,4,1.0064766375139,0.726019426855954,1,0,,16.3613692307692,2.14585384615385,35.8018307692308,86,12,25,0.9375,0.135,0.1375,0.55,,,,2362.30333333333,35.92075,0.4365
KAI20210202,1206,Kangaroo Island,136.44733,-35.83217,2021-02-03T06:55:00Z,2021,2,3,06:55:00,2021-02-02T20:25:00Z,,0,,,,,,,96329581.8539041,279386.06,0.962941853135561,10843.3938134189,22,1.61167691278564,0.521402386769101,13,1.54185724752669,0.601125805092943,8,1.80748732482592,0.869217666665336,,,,,,,1.05,0.40875,0.21,3.175,0.18375,,,,35.592,0.488
MAI20100615,86,Maria Island,148.23333,-42.59667,2010-06-15T11:10:00Z,2010,6,15,11:10:00,2010-06-15T01:10:00Z,2.14389,251.0782,198.4755,0.928905205274172,0.993610059692927,38,2.23953784938038,0.615665925435795,7664713.12803955,301798,0.122157716497339,262.688998701118,4,0.974040527341796,0.70262171921044,3,0.822753600846426,0.748902601338896,,,,13.6610692307692,0.291107692307692,35.2407692307692,22,17,17,0.744444444444445,0.235555555555556,0.0344444444444444,2.91111111111111,,,,2322.28333333333,35.2513333333333,0.361
MAI20121112,391,Maria Island,148.23333,-42.59667,2012-11-13T10:45:00Z,2012,11,13,10:45:00,2012-11-12T23:45:00Z,17.11135,761.7824,674.8478,1.39340608949159,,28,1.67011610437829,0.501204562708691,2573740.18552421,158060,0.236641221374046,161.132816720444,5,0.997392859477046,0.619715027073395,4,1.2498367981128,0.901566675278939,,,,13.3169769230769,0.403430769230769,35.0443153846154,47,11,21,1.24444444444444,0.334444444444444,0.417777777777778,1.83333333333333,,,,2308.82166666667,35.0495555555556,1.532
MAI20130611,445,Maria Island,148.23333,-42.59667,2013-06-11T11:55:00Z,2013,6,11,11:55:00,2013-06-11T01:55:00Z,2.9926,1726.1654,1483.0435,0.692346789049894,0.989717220062401,27,1.35171598403396,0.410128303975403,1656927.29580214,47570.56,0.170842718687359,337.263204719679,6,1.4729262975491,0.822055818788935,1,0,,3,0.995026990179521,0.905712598013837,14.5064846153846,0.2054,35.3470153846154,77,56,28,0.355555555555556,0.326666666666667,0.101111111111111,2.3,,,,,35.3696666666667,0.242
MAI20181018,860,Maria Island,148.23333,-42.59667,2018-10-19T08:45:00Z,2018,10,19,08:45:00,2018-10-18T21:45:00Z,3.50331,2296.2494,881.7222,0.941042783089731,,15,2.1108300388961,0.779464885118071,201129773.049943,665920.65,0.974378541675031,7467.62143822034,13,0.164995334625854,0.0643269365712332,12,0.163833112983267,0.0659312948425023,1,0,,13.09182,0.92216,35.23328,35.712,74.394,10.913,0.755555555555556,0.317777777777778,0.466666666666667,1.95555555555556,0.207777777777778,,,2326.68166666667,35.2245555555556,1.1315
MAI20191121,1000,Maria Island,148.23333,-42.59667,2019-11-22T09:23:00Z,2019,11,22,09:23:00,2019-11-21T22:23:00Z,10.08557,2550.8645,2013.344,0.470082007843667,,18,1.40820370994374,0.48720504761946,1944866523.78662,569177.45,0.892067473934738,176212.008884907,13,1.74219856651084,0.679233124600575,10,1.73710417844615,0.754414759190243,3,0.848658333061563,0.772482104756378,12.8823466666667,1.63966666666667,35.0696266666667,27.777,28.769,12.897,1.01111111111111,0.403333333333333,0.56,3.5,0.295555555555556,,,2313.83,35.097625,2.09
MAI20140807,499,Maria Island,148.23333,-42.59667,2014-08-07T12:00:00Z,2014,8,7,12:00:00,2014-08-07T02:00:00Z,0.18565,104.3209,82.219,0.984726575839653,0.962964204254527,36,2.32076419074008,0.647621578285822,6270183.15322648,338167.11,0.394179478677672,353.250243006315,9,1.97669157446321,0.899631105009589,7,1.84297326326777,0.947100905025077,1,0,,13.4565,0.0667857142857143,35.3351142857143,63,73,61,0.533333333333333,0.283333333333333,0.216666666666667,2.36666666666667,,,,2326.72833333333,35.3191111111111,0.223
MAI20130528,414,Maria Island,148.23333,-42.59667,2013-05-28T10:56:00Z,2013,5,28,10:56:00,2013-05-28T00:56:00Z,,0,,,,,,,15112544.103769,380751.22,0.0559687649036187,641.542233988275,9,1.88587411634081,0.858298298586812,5,1.49979493030064,0.931874984871188,2,0.636514168294813,0.918295834054489,15.0770692307692,0.211292307692308,35.3958461538462,78,17,44,0.577777777777778,0.282222222222222,0.0455555555555556,2.37777777777778,,,,2330.27571428571,35.4114444444444,0.437
MAI20160530,682,Maria Island,148.23333,-42.59667,2016-05-31T09:45:00Z,2016,5,31,09:45:00,2016-05-30T23:45:00Z,3.78621,1043.2141,884.0797,0.790502525239033,,18,1.59888667244217,0.553176825117458,5007637.28333011,172780,0.0570934256055363,650.115707502436,9,1.9349399704098,0.880629131117585,4,1.25767465750958,0.9072204957204,2,0.410116318288409,0.591672778582327,14.3900357142857,0.186485714285714,35.4972285714286,70.431,10.913,22.819,1.36666666666667,0.303333333333333,0.187777777777778,2.16666666666667,0.405555555555556,,,2330.585,35.4933333333333,0.4285
MAI20140516,489,Maria Island,148.23333,-42.59667,2014-05-16T10:20:00Z,2014,5,16,10:20:00,2014-05-16T00:20:00Z,7.83501,289.3892,257.5622,1.04866534243685,0.994444324001293,32,2.30539891940623,0.66519751765963,7446662.43522595,497339.64,0.0829516292177017,127.956872741647,6,1.56269512580829,0.872156755773443,3,1.01142271591543,0.920636630727677,,,,15.0020928571429,0.284178571428571,35.3587928571429,82,11,17,0.788888888888889,0.26,0.05,2.76666666666667,,,,2323.8,35.3582222222222,0.506
MAI20140619,493,Maria Island,148.23333,-42.59667,2014-06-19T11:30:00Z,2014,6,19,11:30:00,2014-06-19T01:30:00Z,1.29193,230.5675,206.9921,1.0110249928409,0.978527984532082,34,2.4591540137475,0.697363186940501,4898400.88352505,217623.53,0.0681330472103004,303.74736233314,5,1.30385382390079,0.810129930348695,3,1.03972077083992,0.946394630357186,,,,13.9157,0.166461538461538,35.3432307692308,76,11,23,0.7,0.288888888888889,0.165555555555556,2.84444444444444,,,,2323.57666666667,35.3328888888889,0.355
MAI20171015,794,Maria Island,148.23333,-42.59667,2017-10-16T09:50:00Z,2017,10,16,09:50:00,2017-10-15T22:50:00Z,18.24268,466.7944,378.7792,0.85742760822136,,18,1.49496255406236,0.517221547705166,133632744.747157,795191.86,0.955167574018209,2208.87252460765,17,2.0182160678218,0.712341720419964,14,1.94937279329156,0.738662541133867,3,1.09861228866811,1,12.40242,1.15303333333333,35.0472666666667,86.295,10.913,15.873,,,,,,,,2318.92,35.1212222222222,2.1775
MAI20110118,155,Maria Island,148.23333,-42.59667,2011-01-19T10:30:00Z,2011,1,19,10:30:00,2011-01-18T23:30:00Z,10.45424,1262.466,1048.5187,0.968946333050617,,25,1.46821250518591,0.456125860414646,14582907.4322681,410544,0.387636098583208,396.150206482131,9,1.14156537352852,0.519548791372288,9,1.14156537352852,0.519548791372288,,,,16.0107769230769,0.609730769230769,35.0758615384615,14,14,18,1.06666666666667,0.324444444444444,0.0255555555555556,2.92222222222222,,,,2308.59166666667,35.0262222222222,2.752
MAI20131117,457,Maria Island,148.23333,-42.59667,2013-11-18T10:50:00Z,2013,11,18,10:50:00,2013-11-17T23:50:00Z,8.51622,1567.4486,427.7029,0.919916057384694,,20,1.95996953346519,0.65425390338369,98875645.6197539,238584.81,0.447494184385585,13210.9055458785,16,2.04062981647799,0.736001629130739,8,1.48330112651106,0.713317059787507,7,1.56042048064961,0.801897498405644,14.4056054755043,6.46412103746398,35.2954317002882,42.593,27.117,46.791,0.822222222222222,0.16,0.20625,0.777777777777778,,,,2327.37166666667,35.2906666666667,0.303
MAI20151001,648,Maria Island,148.23333,-42.59667,2015-10-01T11:05:00Z,2015,10,1,11:05:00,2015-10-01T01:05:00Z,26.87601,3828.654,1240.0691,1.62465773641162,0.994565207994819,21,1.53560583764213,0.504383156653756,360503955.657512,504930,0.11350829174046,23641.0134510761,12,1.07111793736129,0.4310495677786,7,0.547275749334849,0.281244100402342,3,0.893809787961343,0.81358073014543,12.2569285714286,0.8844,35.1698357142857,82,13,17,1.17777777777778,0.362222222222222,0.468888888888889,2.08888888888889,,,,,35.169,1.944
MAI20090716,22,Maria Island,148.23333,-42.59667,2009-07-16T11:36:00Z,2009,7,16,11:36:00,2009-07-16T01:36:00Z,2.15273,35.0094,29.8819,1.27006207688242,0.988951312031696,17,1.58195639289139,0.558361196558024,7816218.18979687,250415,0.357551629758646,350.115725815147,4,0.655042959468191,0.472513614596995,3,0.621386371699094,0.56561025041184,1,0,,13.2022461538462,0.207361538461538,35.2079846153846,76,66,21,0.911111111111111,0.308888888888889,0.0988888888888889,3.02222222222222,,,,2320.00333333333,35.2145555555556,0.246
MAI20191015,999,Maria Island,148.23333,-42.59667,2019-10-16T09:40:00Z,2019,10,16,09:40:00,2019-10-15T22:40:00Z,32.86418,8699.3429,2093.5007,0.930653223808332,,24,1.81186039843133,0.57011633381709,144916143.076723,451800.91,0.980581199375828,8873.12016315133,11,1.63958383557511,0.683759567890426,6,1.47721629194099,0.824450110246899,4,1.2406842919534,0.894964537655,13.0403466666667,0.24942,35.29198,42.656,41.664,30.753,1.55555555555556,0.425555555555556,0.887777777777778,3.2,0.171111111111111,,,2323.53166666667,35.2518888888889,0.5515
MAI20140205,479,Maria Island,148.23333,-42.59667,2014-02-05T11:05:00Z,2014,2,5,11:05:00,2014-02-05T00:05:00Z,21.86546,1509.1384,547.5084,0.733710717497668,0.98837220634948,21,1.50970273321127,0.495875055642608,44228639.5796185,209880.31,0.610189680196187,6311.64805819275,12,1.22025623130496,0.491067232408537,7,0.888997147362072,0.456854160400806,4,1.38198648672552,0.996892525487231,,,,,,,0.933333333333333,0.216666666666667,0.152222222222222,1.03333333333333,,,,2323.21,35.2507777777778,0.72
MAI20180116,806,Maria Island,148.23333,-42.59667,2018-01-17T10:30:00Z,2018,1,17,10:30:00,2018-01-16T23:30:00Z,51.00785,1056.1806,834.5713,0.9662331156892,0.992063478704653,18,1.82868308235807,0.632680926722427,9202519.85448344,450668.29,0.0714280394989649,199.779432176719,5,1.22931728062291,0.763817772108833,2,0.64744976512346,0.934072565368339,1,0,,16.9125714285714,0.286857142857143,35.342,77.369,78.361,22.817,0.477777777777778,0.16,0.158888888888889,0.588888888888889,0.175555555555556,,,2327.78333333333,35.3417777777778,0.84
MAI20141029,535,Maria Island,148.23333,-42.59667,2014-10-30T09:27:00Z,2014,10,30,09:27:00,2014-10-29T22:27:00Z,11.66984,196.8538,153.2397,0.852291801667584,,24,1.80433191197378,0.567747435472556,4043103.69407467,181375,0.527906976744186,270.171877452992,4,0.365080643901174,0.263350017240387,3,0.281112035613758,0.255879201892563,,,,13.0540071428571,0.192228571428571,35.2614571428571,76,14,60,0.844444444444445,0.268888888888889,0.331111111111111,2.11111111111111,,,,2325.545,35.248875,0.3135
NIN20121107,385,Ningaloo,113.779,-21.99,2012-11-07T12:00:00Z,2012,11,7,12:00:00,2012-11-07T04:00:00Z,8.19011,3168.5408,2497.6507,0.692234199522513,0.963824278667071,24,1.201562064792,0.378081092685723,4120883.40743142,76050,0.756756756756757,770.238945839822,9,1.3885209428798,0.631943114601039,8,1.36655690316102,0.657174955760995,,,,22.9663615384615,0.539607692307692,34.9223307692308,38,31,27,3.65,0.15,0.0416666666666667,1.18333333333333,,,,2296.3425,34.9401666666667,0.427
NSI20090819,295,North Stradbroke,153.562,-27.345,2009-08-20T08:45:00Z,2009,8,20,08:45:00,2009-08-19T22:45:00Z,52.6847,2578.2965,1205.5623,0.728163336148146,0.966666701228695,33,1.6897440795201,0.483266244907361,,,,,,,,,,,,,,20.9945615384615,0.208369230769231,35.4143615384615,34,55,56,,,,,,,,,,
NSI20091215,66,North Stradbroke,153.562,-27.345,2009-12-16T09:00:00Z,2009,12,16,09:00:00,2009-12-15T23:00:00Z,25.58365,7143.3627,5863.8584,0.426910007457709,0.995433768551714,25,0.596190343388202,0.18521694399709,86387283.9177299,652722,0.965182908793759,3248.6005049623,14,1.61095935240049,0.610429843384775,14,1.61095935240049,0.610429843384775,,,,24.4571384615385,0.333384615384615,35.5841923076923,12,27,22,1.01428571428571,0.228571428571429,0.62,2.37142857142857,,,,2329.556,35.5572857142857,
NSI20100214,3,North Stradbroke,153.562,-27.345,2010-02-15T09:30:00Z,2010,2,15,09:30:00,2010-02-14T23:30:00Z,38.37869,1989.9817,1430.6006,0.704453125730703,0.964444512032427,38,1.39447228974571,0.383350999403021,32117474.0932063,109358,0.924936074818733,8156.81009354597,16,2.16167966255451,0.779661132289479,15,2.15015435334012,0.793986150059176,1,0,,26.6678153846154,0.210938461538462,35.4070153846154,19,11,16,1.38571428571429,0.268571428571429,0.0328571428571429,3.35714285714286,,,,2318.028,35.4745714285714,
NSI20100411,5,North Stradbroke,153.562,-27.345,2010-04-12T08:35:00Z,2010,4,12,08:35:00,2010-04-11T22:35:00Z,17.15435,1739.225,1372.734,0.738490142915405,0.935185281190777,44,1.45904716970165,0.385563967678571,31504798.6569041,288614,0.9572528363047,2661.95967614184,12,1.64964013757831,0.66386402793805,12,1.64964013757831,0.66386402793805,,,,25.7296384615385,0.217884615384615,35.0551846153846,20,12,39,1.3,0.3,0.0485714285714286,3.28571428571429,,,,2318.29,35.36,
NSI20110816,130,North Stradbroke,153.562,-27.345,2011-08-16T10:00:00Z,2011,8,16,10:00:00,2011-08-16T00:00:00Z,16.5371,1826.0246,1176.6284,0.804971604452413,0.969543430943052,50,1.96315985056283,0.501827276536676,15977733.3424159,452113,0.593822979915927,480.772233003696,10,1.90638174200626,0.827931070954426,10,1.90638174200626,0.827931070954426,,,,20.483525,0.20215,35.650325,36,49,63,0.514285714285714,0.121428571428571,0.115714285714286,0.571428571428572,,,,2334.174,,0.149
NSI20160412,680,North Stradbroke,153.562,-27.345,2016-04-12T10:45:00Z,2016,4,12,10:45:00,2016-04-12T00:45:00Z,7.38126,2006.0568,1273.0745,0.742768856740656,0.880952363318708,22,1.14749607633656,0.371232713122345,3336181.39242619,160484.69,0.678388119292828,294.483189752172,5,0.763870512656613,0.474619434993514,5,0.763870512656613,0.474619434993514,,,,26.3167666666667,0.14382,35.5409733333333,30.755,30.755,43.65,0.942857142857143,0.185714285714286,0.0142857142857143,1.4,,,,2329.308,35.5605714285714,0.1065
NSI20160517,681,North Stradbroke,153.562,-27.345,2016-05-17T10:30:00Z,2016,5,17,10:30:00,2016-05-17T00:30:00Z,9.90169,2134.6509,1639.5663,0.804700126519681,0.938931169922662,40,1.85563471128361,0.503034792642561,8000779.06510279,78155.96,0.342251372725992,3601.6613867311,13,2.03569724504702,0.793659819881083,12,1.9935684124376,0.802270947525404,1,0,,,,,,,,1.01428571428571,0.157142857142857,0.0428571428571429,1.08571428571429,,,,2335.52,35.66,0.0965
