TripCode,Route,Latitude,Longitude,SampleDateUTC,Year,Month,Day,Time_24hr,Amphipod,Appendicularian,Ascidian,Brachiopod,Bryozoan,Cephalopod,Chaetognath,Ciliophora,Cirripedia,Cladoceran,Cnidarian,Copepod,Ctenophore,Decapod,Echinoderm,Egg,Euphausiid,Fish,Foraminifera,Isopod,Mollusc,Mysida,Nematode,Noctilucaceae,Ostracod,Platyhelminthes,Polychaete,Radiozoa,Sipunculid,Thaliacean,Thecostraca,Urochordata
MEAB20200805,MEAB,-38.91447,141.52704,2020-08-05T13:29:14Z,2020,8,5,13:29:14,0.6667,18,0,0,0,0,4,0,0,0,0,6.6669,0,0.6667,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PKME20200801,PKME,-38.49473,148.92113,2020-08-02T02:31:36Z,2020,8,2,02:31:36,0,0,0,0,0,0,0,0,0,0,0,17.3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3333,0,0
PKME20200801,PKME,-37.73917,150.04082,2020-08-01T21:46:50Z,2020,8,1,21:46:50,0,0,0,0,0,0,0,0,0,0,0,16.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
PKME20200801,PKME,-36.14249,150.64483,2020-08-01T15:50:52Z,2020,8,1,15:50:52,0,0,0,0,0,0,1.3333,0,0,0,0,47.3335,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRPK20200728,BRPK,-32.59928,152.6836,2020-07-29T21:15:46Z,2020,7,29,21:15:46,1.3333,24.6667,0,0,0.6667,0,22,2,2,2.6667,0,156.0011,0,2,18,8.6667,6.6666,1.3333,0,0,1.3333,0,0,0,3.3334,0,0,0,0,23.3333,0,0
BRPK20200728,BRPK,-32.29443,152.8367,2020-07-29T19:32:56Z,2020,7,29,19:32:56,0,20,0,0,0.6667,0,11.3333,0,2.6666,0,0,46.0006,0,0.6667,0.6667,0,0,0.6667,0,0,0.6667,0,0,0,0,0,0,0,0,13.3333,0,0
BRPK20200728,BRPK,-31.66413,153.09649,2020-07-29T16:07:15Z,2020,7,29,16:07:15,0,48,0,0,0,0,24.6667,20,0,0,0.6667,119.3337,0,2,0,4,5.3333,0,0,0.6667,2.6667,0,0,0,1.3333,0,0,0,0,4,0,0
BRPK20200728,BRPK,-31.01742,153.28744,2020-07-29T12:41:34Z,2020,7,29,12:41:34,0,29.3333,0,0,0,0,22,6,0.6667,0.6667,0,121.3338,0,4.6667,0,2,0.6667,0,0,0,0.6667,0,0,0,0,0,0.6667,0,0,6.6667,0,0
BRPK20200728,BRPK,-29.0563,153.76593,2020-07-29T02:24:32Z,2020,7,29,02:24:32,0,10,0,0,0,0,4,0.6667,0,0,0,27.3339,0,0,0,0,0,0.6667,0,0,0.6667,0,0,0,0,0,0,0,0,12,0,0
CAGL20200519,CAGL,-21.5215,150.40742,2020-05-21T03:43:46Z,2020,5,21,03:43:46,0,8,0,0,0,0,24,0,0,0,0,161.9999,0,14.6667,2,0,0,0,0,0,6,0,0,0,4.6667,0,0,0,0,0,0,0
CAGL20200519,CAGL,-20.49636,149.49139,2020-05-20T20:55:32Z,2020,5,20,20:55:32,0,2,0,0,0,0,10.6667,0,0,0,0,38.6666,0,4.6667,1.3333,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0
CAGL20200519,CAGL,-17.96772,146.43652,2020-05-20T00:30:49Z,2020,5,20,00:30:49,0,0,0,0,0,0,6.6667,0,0,0,0,35.3336,0,9.3333,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0
MEAD20200417,MEAD,-37.32495,137.78017,2020-04-18T02:06:27Z,2020,4,18,02:06:27,0.6667,54.6667,0,0,0,0,12.6667,0.6667,0,3.3333,0,32.0001,0,1.3333,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,125.3333,0,0
MEAD20200417,MEAD,-38.46875,140.35063,2020-04-17T16:14:34Z,2020,4,17,16:14:34,0,0,0,0,0,0,0.6667,0,0,0,0,13.3335,0,0,2.6667,2,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEAD20200417,MEAD,-38.92653,143.17832,2020-04-17T06:22:41Z,2020,4,17,06:22:41,0,23.3333,0,0,0,0,2,0,0,2.6667,0,95.3334,0,8.6666,0.6667,0,0,0,0,0,2,0,0,6,0,0,0,0,0,2,0,0
PKME20200415,PKME,-37.66651,150.00627,2020-04-15T06:26:45Z,2020,4,15,06:26:45,0,20,0,0,0,0,12,0,0,13.3334,0,44.0005,0,1.3333,0,1.3333,0,0.6667,0,0,1.3334,0,0,0,0,0,0,0,0,12,0,0
PKME20200415,PKME,-37.43243,150.27944,2020-04-15T05:18:18Z,2020,4,15,05:18:18,0,2.6667,0,0,0.6667,0,0,0,0,1.3334,0,20.6668,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
BRPK20200412,BRPK,-31.26246,153.24892,2020-04-13T09:13:18Z,2020,4,13,09:13:18,0,2,0,0,0,0,2.6667,0,0,0,0.6667,16.0002,0,0.6667,0,0,0,0,0,0,0,0,0,1.3333,0,0,0.6667,0,0,0,0,0
BRPK20200412,BRPK,-30.94117,153.35523,2020-04-13T08:07:05Z,2020,4,13,08:07:05,0,8.6667,0,0,0,0,3.3333,0,0,0,1.3333,72.0003,0,1.3333,0,0,0,0.6667,0,0,2.6667,0,0,2,0.6667,0,0,0,0,1.3334,0,0
BRPK20200412,BRPK,-30.29355,153.54198,2020-04-13T05:54:38Z,2020,4,13,05:54:38,0.6667,34.6667,0,0,0,0,17.3333,0,0,0,1.3333,99.3337,0,19.3333,0,2,0,0.6667,0,0,1.3334,0,0,0,0,0,0.6667,0,0,9.3333,0,0
BRPK20200412,BRPK,-29.96444,153.60852,2020-04-13T04:48:24Z,2020,4,13,04:48:24,0,4.6667,0,0,0,0,5.3333,0,0,0,0.6667,30.0004,0,2,0,1.3333,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,12,0,0
ABAB20200227,ABAB,-36.82673,126.65237,2020-02-28T02:05:34Z,2020,2,28,02:05:34,0,1.3333,0,0,0,0,1.3333,0,0,0.6667,0,12.0001,0,0,0,0,0.6667,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,ABAB,-36.89273,127.05949,2020-02-28T00:56:48Z,2020,2,28,00:56:48,0,2,0,0,0,0,0,0,0,0,0,32.6668,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,ABAB,-36.95735,127.46731,2020-02-27T23:48:02Z,2020,2,27,23:48:02,0,0,0,0,0,0,1.3333,0,0,0,0,16.6666,0,2,0,0,4.6667,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,ABAB,-37.02057,127.87582,2020-02-27T22:39:17Z,2020,2,27,22:39:17,0,0,0,0,0,0,0.6667,0,0,0,0,12.6668,0,0.6667,0,0,0,0,1.3333,0,1.3333,0,0,0,0,0,0.6667,0,0,0,0,0
ABAB20200227,ABAB,-37.14279,128.69484,2020-02-27T20:21:46Z,2020,2,27,20:21:46,0,0,0,0,0,0,0,0,0,0,0,26.6668,0,1.3333,0,0,0,0,4,0,3.3333,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,ABAB,-37.20178,129.10533,2020-02-27T19:13:00Z,2020,2,27,19:13:00,0,2.6667,0,0,0,0,0.6667,0,0,0,0,33.3336,0,0.6667,0,0,0,0,2,0,1.3334,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,ABAB,-37.37023,130.34054,2020-02-27T15:46:43Z,2020,2,27,15:46:43,0,0,0,0,0,0,0,0,0,0,0,72.6669,0,2,0,0,0,0,0,0,2.6667,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,ABAB,-37.66829,132.82663,2020-02-27T08:54:09Z,2020,2,27,08:54:09,0.6667,4,0,0,0,0,2,0,0,0,0,12.6667,0,0,0,0,0,0,0.6667,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,ABAB,-37.87656,134.91247,2020-02-27T03:10:21Z,2020,2,27,03:10:21,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0
ABAB20200227,ABAB,-37.91378,135.33099,2020-02-27T02:01:35Z,2020,2,27,02:01:35,0,0,0,0,0,0,0.6667,0,0,0,0,6,0,0,0,0,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGL20200215,CAGL,-19.67866,148.35633,2020-02-16T18:39:35Z,2020,2,16,18:39:35,1.2517,3.7552,0,0,0,0,6.2586,0,0.6259,0.6259,0,55.0762,0,12.5172,0,0,0,0,0,0,3.7552,0,0,0,2.5035,0,0,0,0,36.2999,0.6259,0
CAGL20200215,CAGL,-17.77165,146.2812,2020-02-16T05:09:28Z,2020,2,16,05:09:28,0,4.381,0,0,0.6259,0,6.2586,0,0,1.2518,2.5034,10.0138,0,1.8776,1.8776,0,0,0,0,0,0.6259,0,0,0,0,0,0,0,0,33.7965,0,0
MEAB20191211,MEAB,-38.38179,133.76829,2019-12-12T18:06:09Z,2019,12,12,18:06:09,1.3333,42.6667,0,0,0,0,16,0,0,0,1.3333,169.3334,0,5.3333,0,0,13.3333,0,0,0,2.6667,0,0,0,1.3333,0,4,0,0,1.3333,0,0
MEAB20191211,MEAB,-38.19075,134.5796,2019-12-12T15:41:38Z,2019,12,12,15:41:38,0.6667,0.6667,0,0,0,0,8,0,0,0,0.6667,125.3336,0,0,0,0,3.3334,0,0,0,0,0,0,0,0,0,2.6667,0,0,2,0,0
PKME20191208,PKME,-35.81126,150.81172,2019-12-08T16:17:39Z,2019,12,8,16:17:39,0,0,0,0,0,0,3.3333,0,0,0,0,55.3336,0,3.3333,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
BRPK20191205,BRPK,-33.91468,151.63548,2019-12-06T18:09:05Z,2019,12,6,18:09:05,1.4815,71.1111,0,0,0,0,20.7407,1.4815,0,16.2963,0,250.3708,0,2.963,0,1.4815,2.963,0,0,0,5.9259,0,0,0,2.963,0,0,0,0,157.037,0,0
BRPK20191205,BRPK,-33.13631,152.17894,2019-12-06T15:18:50Z,2019,12,6,15:18:50,0,8.1481,0,0,0,0,7.4074,0,0.7407,7.4074,0,108.8884,0,5.9259,0,0,0,0,0,0,2.2221,0,0,2.963,0,0,0,0,0,2.2222,0,0
BRPK20191205,BRPK,-32.87633,152.35795,2019-12-06T14:22:05Z,2019,12,6,14:22:05,0,272.5926,0,0,0,0,5.9259,5.9259,0,207.4074,0,420.7403,0,11.8519,0,5.9259,0,5.9259,0,0,11.8518,0,0,0,5.9259,0,0,0,0,201.4815,0,0
BRPK20191205,BRPK,-31.7676,152.90463,2019-12-06T10:35:05Z,2019,12,6,10:35:05,0,2.2222,0,0,1.4815,0,0.7407,0,1.4815,0,0,45.1847,0,0.7407,0,1.4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRPK20191205,BRPK,-30.93146,153.29868,2019-12-06T07:44:50Z,2019,12,6,07:44:50,0,2.2222,0,0,0,0,2.2222,0,0,0.7407,0,25.9254,0,0,0,0,0,0,0,0,0.7407,0,0,0,0,0,0,0,0,0,0,0
BRPK20191205,BRPK,-30.0693,153.58569,2019-12-06T04:54:35Z,2019,12,6,04:54:35,1.4815,88.1481,0,0,0,0,14.0741,0,0,0,0,44.4441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRPK20191205,BRPK,-28.58504,153.84571,2019-12-06T00:10:50Z,2019,12,6,00:10:50,0,0.7407,0,0,0,0,0.7407,0,0,0,0,9.6293,0,0,0,0,0,0,1.4815,0,1.4814,0,0,0,0,0,0,0,0,0,0,0
BRPK20191205,BRPK,-28.28426,153.84952,2019-12-05T23:14:05Z,2019,12,5,23:14:05,0,0.7407,0,0,0,0,0.7407,0,0,0,0,5.1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOAN20191025,HOAN,-46.6454,137.6079,2019-10-27T06:33:00Z,2019,10,27,06:33:00,0,0,0,0,0,0,0.6667,0,0,0,0,38.6666,0,0,0,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOAN20191025,HOAN,-45.5423,141.1078,2019-10-26T14:44:00Z,2019,10,26,14:44:00,0,0,0,0,0,0,1.3333,0,0,0,0,30,0,0,0,0,2.6667,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0
ADME20190806,ADME,-38.15625,136.47559,2019-08-23T08:07:51Z,2019,8,23,08:07:51,0,6.6667,0,0,0,0,3.3333,0,0,0,0,38.0002,0,0,0,0,2,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
ADME20190806,ADME,-38.33677,137.72413,2019-08-20T06:54:57Z,2019,8,20,06:54:57,0,1.3333,0,0,0,0,2,0,0,0,0,31.3339,0,0.6667,0,1.3333,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADME20190806,ADME,-38.50399,138.97868,2019-08-17T05:42:03Z,2019,8,17,05:42:03,0,3.3333,0,0,0,0,5.3333,0,0,0,0,10.0002,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEPK20190808,MEPK,-37.3194,150.32188,2019-08-09T04:34:13Z,2019,8,9,04:34:13,2.6667,232,0,0,0,0,24,0,10.6667,64,0,248.0005,0,2.6667,0,0,24.0001,2.6667,2.6667,0,0,0,0,0,0,0,0,0,0,10.6667,0,0
MEPK20190808,MEPK,-38.92365,147.74962,2019-08-08T14:16:37Z,2019,8,8,14:16:37,0,18,0,0,0,0,7.3333,0,0,1.3334,0,13.3338,0,0.6667,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEPK20190808,MEPK,-39.273,146.54749,2019-08-08T08:55:00Z,2019,8,8,08:55:00,0,6,0,0,0,0,1.3333,0,0,0,0,12.0001,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGL20190803,CAGL,-23.02039,151.21562,2019-08-05T04:14:56Z,2019,8,5,04:14:56,0,0.6667,0,0,0.6667,0,9.3333,0,0,0,0.6667,11.3337,0,4,0,0,0,0.6667,0,0,0.6667,0,0,0,0,0,0,0,0,0.6667,0,0
CAGL20190803,CAGL,-22.70875,151.08451,2019-08-05T02:27:04Z,2019,8,5,02:27:04,0,2,0,0,0,0,38,0,0,0.6667,0.6667,22.6673,0,6.6667,0,0,0,0.6667,0.6667,0,0.6667,0,0,0,0.6667,0,0,0,0,2,0,0
CAGL20190803,CAGL,-21.7976,150.65074,2019-08-04T21:03:30Z,2019,8,4,21:03:30,0,0,0,0,0.6667,0,6,0,0,0,0.6667,25.3335,0,2.6667,0,0,0,0,0,0,0.6667,0,0,0,6,0,0,0,0,0,0,0
CAGL20190803,CAGL,-20.51857,149.5015,2019-08-04T12:04:13Z,2019,8,4,12:04:13,0,40,0,0,2.6667,0,16,0,2.6667,0,2.6667,163.9997,0,2.6667,1.3333,0,0,1.3333,0,0,0,0,0,0,1.3333,0,0,0,0,0,0,0
CAGL20190803,CAGL,-20.03676,149.01887,2019-08-04T08:28:30Z,2019,8,4,08:28:30,0,28.6667,0,0,0.6667,0,13.3333,0,4,0,0.6667,160.6672,0,6.6667,0,0.6667,0,0.6667,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0
CAGL20190803,CAGL,-18.97602,147.24011,2019-08-03T21:41:21Z,2019,8,3,21:41:21,0.6667,86,0.6667,0,0,0,12.6667,2.6667,2,0,0.6667,100.667,0,4.6667,0,2,0,0,0,0,0.6667,0.6667,0,0,2.6667,0,0,0,0,4,1.3333,0
CAGL20190803,CAGL,-18.75864,146.97288,2019-08-03T19:53:29Z,2019,8,3,19:53:29,0.6667,0,0,0,0,0,4.6667,0,0,0,0,38.0004,0,5.3333,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
CAGL20190803,CAGL,-18.54088,146.70634,2019-08-03T18:05:38Z,2019,8,3,18:05:38,3.3334,4.6667,0,0,0.6667,0,10.6667,0,1.3333,0,2,127.3335,0,6.6667,0,1.3333,0,0,0,0,2.6667,0.6667,0,0,3.3333,0,0,0,0,0.6667,0.6667,0
CAGL20190803,CAGL,-18.30592,146.46221,2019-08-03T16:17:46Z,2019,8,3,16:17:46,3.3333,1.3333,0,0,0,0,4,0,0.6667,0,1.3334,116.0003,0,8.6667,0,0,0,0,0.6667,0,2,0,0,0,2.6667,0,0,0,0,8,0,0
CAGL20190803,CAGL,-17.99314,146.34287,2019-08-03T14:29:55Z,2019,8,3,14:29:55,0.6667,1.3333,0,0,0,0,7.3333,0,2.6667,0,0,70.0003,0,14,0,0,0,0,0.6667,0,2,0.6667,0,0,2,0,0,0,0,2,0,0
PKME20190627,PKME,-38.12116,149.22396,2019-06-27T19:52:06Z,2019,6,27,19:52:06,0,50.6667,0,0,1.3333,0,25.3333,0,0,8,0,323.9995,0,8,0,0,9.3333,0,0,0,1.3333,0,0,0,2.6667,0,0,0,0,1.3333,0,0
PKME20190627,PKME,-37.48393,150.14242,2019-06-27T16:09:09Z,2019,6,27,16:09:09,0,7.3333,0,0,2,0,74.6667,0,0,0,0,86.0003,0,1.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
PKME20190627,PKME,-36.52416,150.49863,2019-06-27T12:26:12Z,2019,6,27,12:26:12,0,2.6667,0,0,0.6667,0,32.6667,0,0,0,1.3333,150.0004,0,2,0,2,7.3334,0.6667,0,0,2.6667,0,0,0,2.6667,0,0,0,0,0,0,0
BRPK20190624,BRPK,-31.87615,152.99583,2019-06-25T15:20:09Z,2019,6,25,15:20:09,0,20.6667,0,0,0.6667,0,36,0,0,0,0,114.6671,0,2.6667,0,0.6667,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BRPK20190624,BRPK,-28.93955,153.70419,2019-06-25T06:19:13Z,2019,6,25,06:19:13,0,5.3333,0,0,0,0,2,0,0,0,0,72.667,0,1.3334,0,0,0,0,0,0,6.6666,0,0,0.6667,0,0,0.6667,0,0,0,0,0
BRPK20190624,BRPK,-28.60851,153.75608,2019-06-25T05:19:07Z,2019,6,25,05:19:07,0,27.3333,0,0,0.6667,0,5.3333,0,0,0,0,86.0003,0,2.6667,0,0,0,0,2,0,4.6667,0,0,0,0,0,0.6667,0,0,0,0,0
BRPK20190624,BRPK,-28.27507,153.77283,2019-06-25T04:19:01Z,2019,6,25,04:19:01,0,58,0,0,0,0,4.6667,0,0,0,0,68.0001,0,0.6667,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.6667,0,0
BRPK20190624,BRPK,-27.94124,153.76614,2019-06-25T03:18:55Z,2019,6,25,03:18:55,0,15.3333,0,0,0,0,0.6667,0,0,0,0,19.3335,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333,0,0
BRPK20190624,BRPK,-26.60985,153.63028,2019-06-24T23:18:31Z,2019,6,24,23:18:31,0,2.6667,0,0,0,0,2.6667,0,0,0,0,4.0001,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0
IIOE20190517,IIOE,-12.22741,109.99999,2019-06-05T22:44:42Z,2019,6,5,22:44:42,0.6667,8.6667,0,0,0,0,32.6667,0,0,0,0.6667,41.3336,0,2.0001,0,0,2.6667,0,0,0,0,0.6667,0,0,1.3333,0,0,0.6667,0,2,0,0
IIOE20190517,IIOE,-12.88632,110.00003,2019-06-03T20:52:37Z,2019,6,3,20:52:37,0.6667,9.3333,0,0,0,0,19.3333,0,0,0,0.6667,38.0005,0,1.3334,0,0,2,0,0,0,0,0,0,0,0,0,0,2.6667,0,2,0,0
IIOE20190517,IIOE,-14.69605,110.00002,2019-06-02T19:02:32Z,2019,6,2,19:02:32,0,14,0,0,0.6667,0,20.6667,0,0,0,0.6667,26.6669,0,0,0,0,1.3334,0,0,0,0,0.6667,0,0,0,0,0,2.6666,0,1.3333,0,0
IIOE20190517,IIOE,-18.04616,110.00003,2019-05-31T17:00:49Z,2019,5,31,17:00:49,0,4,0,0,0,0,10,0,0,0,0,22.667,0,2,0,0,2,0.6667,0,0,0,0,0,0,0,0,1.3333,0.6667,0,37.3333,0,0
IIOE20190517,IIOE,-21.38966,110.00002,2019-05-29T14:59:56Z,2019,5,29,14:59:56,0,6,0,0,0,0,7.3333,0,0,0,0,6.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IIOE20190517,IIOE,-22.53673,110.00003,2019-05-28T16:50:09Z,2019,5,28,16:50:09,0.6667,10.6667,0,0,0,0,20,0,0,0,0.6667,18.0002,0,4.6666,0,0,1.3334,0,0,0,0.6667,0,0,0,0,0,0,0,0,0.6667,0,0
IIOE20190517,IIOE,-25.5676,110.00005,2019-05-26T17:23:30Z,2019,5,26,17:23:30,0,12.6667,0,0,0,0,6,0,0,0,0,19.3335,0,0.6667,0,0,2,0,0,0,0,0,0,0,0,0,0,0.6667,0,0.6667,0,0
IIOE20190517,IIOE,-27.36391,110.00004,2019-05-25T15:24:07Z,2019,5,25,15:24:07,0,15.3333,0,0,0,0,8,0,0,0,0,8.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3333,0,0,0,0
IIOE20190517,IIOE,-34.57183,110.00006,2019-05-20T17:13:46Z,2019,5,20,17:13:46,0.6667,0.6667,0,0,0,0,28,0,0,0,0,18.0002,0,0,0,0,1.3334,0,0,0,0,0,0,0,0,0,0,0,0,4.6667,0,0
IIOE20190517,IIOE,-36.02809,110.00006,2019-05-19T17:42:08Z,2019,5,19,17:42:08,0,0,0,0,0,0,3.3333,0.6667,0,0,0,15.3334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,0
BRPK20190421,BRPK,-32.29396,152.89554,2019-04-21T18:34:54Z,2019,4,21,18:34:54,2,4.6667,0,0,0.6667,0,13.3333,0,0,0,0.6667,67.3336,0,1.3334,0,0,0,0,0,0,0.6667,0,0,0,0,0.6667,0,0,0,2,0,0
BRPK20190421,BRPK,-30.03347,153.58524,2019-04-21T11:33:55Z,2019,4,21,11:33:55,0.6667,12,0,0,0,0,17.3333,0,0,0,0,28.0003,0,2.6666,0,0,0,0,0,0,0.6667,0,0,0,0,0,0.6667,0,0,0,0,0
BRPK20190421,BRPK,-28.71762,153.85,2019-04-21T07:33:22Z,2019,4,21,07:33:22,1.3334,7.3334,0,0,0.6667,0,12,0,0,0.6667,0,42.0003,0,2,0,0,0,0,1.3333,0,1.3333,0,0,0,0,0,0,0,0,0.6667,0,0
BRPK20190421,BRPK,-28.05093,153.82633,2019-04-21T05:33:05Z,2019,4,21,05:33:05,0,16,0,0,0,0,9.3333,0,0,0,0,19.3335,0,2.6667,0.6667,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0,0,0
BRPK20190421,BRPK,-27.39171,153.70148,2019-04-21T03:32:48Z,2019,4,21,03:32:48,0,8.6667,0,0,0,0,24.6667,0,0,0,0,19.3337,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0
BRPK20190421,BRPK,-26.83256,153.39961,2019-04-21T01:32:31Z,2019,4,21,01:32:31,0,2.6667,0,0,0,0,7.3333,0,0,0,0.6667,9.3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAGL20190415,CAGL,-21.13237,150.04966,2019-04-16T23:29:51Z,2019,4,16,23:29:51,0,0,0,0,0.6667,0,4,0,0,0,0,30.0003,0,3.3333,0,0,0,0,0,0,2.6667,0,0,0,0.6667,0,0,0,0,0,0,0
CAGL20190415,CAGL,-20.87637,149.82031,2019-04-16T21:49:42Z,2019,4,16,21:49:42,0,1.3333,0,0,0,0,4.6667,0,0,0,0,56,0,7.3333,0,0,0,0,0,0,3.3334,0,0,1.3333,0.6667,0,0,0,0,0,0,0
CAGL20190415,CAGL,-20.36347,149.36392,2019-04-16T18:29:23Z,2019,4,16,18:29:23,0.6667,1.3333,0,0,0,0,6,0,0,0,0,28.6668,0,3.3333,0,0,0,0,0,0,2.6666,0,0,0,0.6667,0,0,0,0,0,0,0
CAGL20190415,CAGL,-19.62342,148.20964,2019-04-16T11:48:46Z,2019,4,16,11:48:46,0,3.3333,0,0,0,0,43.3333,0,0,0,0,14.0002,0,1.3334,0,0,0,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
