SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,COUNTS,SAMPVOL_L
6-41,Radiolarian,Radiozoa,(null),(null),1,1
6-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,8,1
6-49,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,1
6-49,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,15,1
6-53,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,1
6-53,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,11,1
6-57,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,17,1
6-57,Fungal spores,Other,(null),(null),1,1
6-61,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,18,1
6-65,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,11,1
6-69,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,19,1
6-73,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
6-77,Spikey balls,Other,(null),(null),1,1
6-81,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
6-89,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
6-89,Tripos horridus,Dinoflagellate,Tripos (Tripoceratium),horridus,1,1
6-89,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,1,1
12-45,Gold balls,Other,(null),(null),2,1
12-45,Nematocysts,Other,(null),(null),2,1
3-9,Gonyaulax polygramma,Dinoflagellate,Gonyaulax,polygramma,1,1
3-9,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
3-21,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,1,1
3-21,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,1,1
3-21,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
3-13,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,1,1
3-13,Gazelletta hexanema,Radiozoa,Gazelletta,hexanema,1,1
3-13,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
3-13,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
3-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
3-49,Nematocysts,Other,(null),(null),1,1
3-49,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,5,1
3-53,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
3-53,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,2,1
3-53,Nematocysts,Other,(null),(null),1,1
3-53,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6,1
3-57,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,4,1
3-21,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
3-21,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,1,1
3-21,Dactyliosolen spp.,Centric diatom,Dactyliosolen,spp.,1,1
3-21,Fragilaria spp.,Pennate diatom,Fragilaria,spp.,2,1
3-21,Gold balls,Other,(null),(null),1,1
3-21,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,1,1
3-29,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,1,1
3-29,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,1,1
3-21,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,1,1
3-21,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6,1
3-29,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
3-29,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,4,1
3-29,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,2,1
3-29,Paralia sulcata,Centric diatom,Paralia,sulcata,1,1
3-29,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
3-29,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
3-29,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,8,1
3-37,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
3-37,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,5,1
3-45,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
3-69,Lauderia spp.,Centric diatom,Lauderia,spp.,1,1
3-69,Nematocysts,Other,(null),(null),3,1
3-69,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,6,1
3-73,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
3-73,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
3-73,Gazelletta hexanema,Radiozoa,Gazelletta,hexanema,1,1
3-73,Nematocysts,Other,(null),(null),1,1
3-73,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,10,1
3-73,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,19,1
3-77,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,14,1
3-81,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,19,1
3-85,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,18,1
18-1,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
3-5,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
18-1,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,2,1
19-5,Fungal hyphae,Other,(null),(null),5,1
19-5,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
19-5,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,2,1
18-1,Guinardia spp.,Centric diatom,Guinardia,spp.,3,1
18-1,Proboscia spp.,Centric diatom,Proboscia,spp.,2,1
18-1,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
15-73,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
18-5,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
18-5,Chaetoceros socialis,Centric diatom,Chaetoceros (Hyalochaete),socialis,1,1
18-5,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,4,1
18-5,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,1,1
18-5,Nematocysts,Other,(null),(null),1,1
18-5,Paralia sulcata,Centric diatom,Paralia,sulcata,2,1
18-5,Radiolarian,Radiozoa,(null),(null),1,1
15-81,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
3-37,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,0,1
3-49,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
3-49,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,0,1
3-57,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
18-57,Navicula - shaped,Pennate diatom,(null),(null),1,1
18-57,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
18-5,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,4,1
15-21,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
15-25,Radiolarian,Radiozoa,(null),(null),1,1
15-29,Lauderia spp.,Centric diatom,Lauderia,spp.,1,1
15-29,Nematocysts,Other,(null),(null),1,1
15-29,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
18-41,Tripos extensus,Dinoflagellate,Tripos (Amphiceratium),extensus,1,1
18-25,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,1,1
18-25,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
18-25,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
18-25,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
18-25,Cylindrical diatom,Centric diatom,(null),(null),3,1
18-25,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,1,1
18-25,Navicula - shaped,Pennate diatom,(null),(null),2,1
18-25,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,2,1
18-25,Paralia sulcata,Centric diatom,Paralia,sulcata,2,1
18-25,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
18-25,Sagenoarium spp.,Radiozoa,Sagenoarium,spp.,2,1
18-25,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,1,1
18-41,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
18-41,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,1,1
18-41,Lauderia spp.,Centric diatom,Lauderia,spp.,2,1
18-41,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,1
18-25,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
18-41,Paralia sulcata,Centric diatom,Paralia,sulcata,2,1
18-41,Proboscia spp.,Centric diatom,Proboscia,spp.,2,1
18-41,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
18-45,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,2,1
18-45,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
18-45,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
18-45,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
18-45,Dinophysis spp.,Dinoflagellate,Dinophysis,spp.,1,1
18-45,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,1
18-45,Paralia sulcata,Centric diatom,Paralia,sulcata,2,1
18-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
18-57,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
15-33,Nematocysts,Other,(null),(null),1,1
15-33,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
15-45,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,1,1
15-45,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
15-45,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
15-45,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
15-45,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3,1
15-45,Dinoflagellate cyst,Dinoflagellate,(null),(null),1,1
15-45,Dinophysis spp.,Dinoflagellate,Dinophysis,spp.,1,1
15-45,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
15-49,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
15-49,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
15-49,Dinoflagellate cyst,Dinoflagellate,(null),(null),1,1
15-49,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
15-57,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
15-57,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,2,1
15-57,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,10,1
15-57,Nematocysts,Other,(null),(null),1,1
15-57,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,4,1
15-61,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,1,1
15-61,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,5,1
15-61,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
15-65,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,3,1
15-65,Nematocysts,Other,(null),(null),1,1
15-65,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
19-33,Chaetoceros (Phaeoceros),Centric diatom,Chaetoceros (Phaeoceros),spp.,1,1
14-9,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
14-9,Gold balls,Other,(null),(null),2,1
14-13,Gold balls,Other,(null),(null),2,1
14-17,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,1,1
14-17,Gold balls,Other,(null),(null),2,1
14-17,Nematocysts,Other,(null),(null),2,1
14-17,Proboscia spp.,Centric diatom,Proboscia,spp.,1,1
14-17,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
14-29,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1
14-29,Fragilaria spp.,Pennate diatom,Fragilaria,spp.,1,1
14-29,Navicula - shaped,Pennate diatom,(null),(null),1,1
14-29,Sagenoarium spp.,Radiozoa,Sagenoarium,spp.,1,1
14-29,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
14-33,Gold balls,Other,(null),(null),1,1
14-33,Radiolarian,Radiozoa,(null),(null),1,1
14-41,Amphisolenia spp.,Dinoflagellate,Amphisolenia,spp.,1,1
14-41,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,2,1
14-41,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,5,1
14-41,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,1,1
14-53,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
14-53,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,1,1
14-53,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6,1
14-53,Gold balls,Other,(null),(null),1,1
14-53,Nematocysts,Other,(null),(null),1,1
14-53,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
14-77,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,1,1
14-77,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,1,1
14-77,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,1,1
14-77,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,1,1
14-77,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,4,1
14-77,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6,1
14-77,Radiolarian,Radiozoa,(null),(null),1,1
14-77,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
3-77,Cyttarocylis spp.,Ciliate,Cyttarocylis,spp.,0,1
3-77,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,0,1
3-77,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
3-85,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
3-85,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
3-85,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,0,1
4-25,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,2,1.0618
4-25,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,18,1.0618
4-33,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,3,1.0618
4-33,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,17,1.0618
4-37,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,2,1.0618
4-37,Cylindrical diatom,Centric diatom,(null),(null),1,1.0618
14-85,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
14-85,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,2,1
14-85,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3,1
14-85,Foraminifera,Foraminifera,(null),(null),1,1
14-85,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
4-25,Codonellopsis orthoceras,Ciliate,Codonellopsis,orthoceras,1,1.0618
4-37,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,13,1.0618
4-40,Navicula - shaped,Pennate diatom,(null),(null),1,1.0618
4-40,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,16,1.0618
4-65,Guinardia spp.,Centric diatom,Guinardia,spp.,1,1.0618
4-65,Radiolarian,Radiozoa,(null),(null),1,1.0618
4-65,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,1,1.0618
4-65,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,12,1.0618
4-69,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1.0618
4-69,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1.0618
4-69,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,2,1.0618
4-69,Spikey balls,Other,(null),(null),1,1.0618
4-69,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,18,1.0618
8-53,Nematocysts,Other,(null),(null),2,1
8-53,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,2,1
8-57,Nematocysts,Other,(null),(null),1,1
7-9,Fungal hyphae,Other,(null),(null),14,1.0655
7-9,Guinardia spp.,Centric diatom,Guinardia,spp.,3,1.0655
7-9,Aspergillus sydowii,Other,Aspergillus,sydowii,9,1.0655
4-73,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,1,1.0618
4-73,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,1,1.0618
4-73,Coscinodiscus spp. > 80 µm,Centric diatom,Coscinodiscus,spp.,1,1.0618
4-73,Nematocysts,Other,(null),(null),1,1.0618
4-73,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1.0618
4-73,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,18,1.0618
8-1,Aspergillus sydowii,Other,Aspergillus,sydowii,1,1
8-53,Fungal spores,Other,(null),(null),1,1
7-9,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1.0655
7-9,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,2,1.0655
7-13,Fungal hyphae,Other,(null),(null),9,1.0655
7-13,Nematocysts,Other,(null),(null),1,1.0655
7-13,Aspergillus sydowii,Other,Aspergillus,sydowii,20,1.0655
7-61,Aspergillus sydowii,Other,Aspergillus,sydowii,4,1.0655
7-61,Spikey balls,Other,(null),(null),2,1.0655
15-81,Gold balls,Other,(null),(null),1,1
7-13,Spikey balls,Other,(null),(null),2,1.0655
7-33,Fungal hyphae,Other,(null),(null),12,1.0655
7-33,Aspergillus sydowii,Other,Aspergillus,sydowii,20,1.0655
7-33,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1.0655
19-29,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,2,1
19-29,Nematocysts,Other,(null),(null),3,1
7-53,Fungal hyphae,Other,(null),(null),19,1.0655
7-53,Aspergillus sydowii,Other,Aspergillus,sydowii,8,1.0655
7-53,Spikey balls,Other,(null),(null),1,1.0655
7-61,Fungal hyphae,Other,(null),(null),5,1.0655
19-29,Sagenoarium spp.,Radiozoa,Sagenoarium,spp.,7,1
19-33,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
15-69,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,1,1
15-69,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,1,1
15-69,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
15-69,Gold balls,Other,(null),(null),2,1
15-69,Nematocysts,Other,(null),(null),1,1
15-69,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
15-77,Fragilaria spp.,Pennate diatom,Fragilaria,spp.,1,1
15-77,Gold balls,Other,(null),(null),7,1
15-77,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,1,1
15-77,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
19-33,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3,1
19-33,Fungal hyphae,Other,(null),(null),1,1
19-33,Radiolarian,Radiozoa,(null),(null),1,1
19-33,Sagenoarium spp.,Radiozoa,Sagenoarium,spp.,3,1
19-33,Spikey balls,Other,(null),(null),1,1
19-37,Sagenoarium spp.,Radiozoa,Sagenoarium,spp.,1,1
5-1,Lauderia spp.,Centric diatom,Lauderia,spp.,1,1
5-1,Nematocysts,Other,(null),(null),1,1
5-1,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,1,1
18-13,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
18-13,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
18-21,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,0,1
18-21,Foraminifera,Foraminifera,(null),(null),0,1
18-37,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,0,1
18-37,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
18-41,Foraminifera,Foraminifera,(null),(null),0,1
18-41,Tripos pentagonus,Dinoflagellate,Tripos (Ceratium),pentagonus,0,1
18-41,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
18-41,Tripos longipes,Dinoflagellate,Tripos (Tripoceratium),longipes,0,1
18-45,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
18-49,Tripos carriensis,Dinoflagellate,Tripos (Tripoceratium),carriensis,0,1
18-49,Foraminifera,Foraminifera,(null),(null),0,1
19-65,Gold balls,Other,(null),(null),2,1
19-65,Sagenoarium spp.,Radiozoa,Sagenoarium,spp.,1,1
19-73,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,2,1
19-73,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,1,1
19-73,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
19-77,Tripos biceps,Dinoflagellate,Tripos (Amphiceratium),biceps,1,1
19-77,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,1,1
19-77,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,1,1
19-77,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,1,1
19-77,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
19-77,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,1,1
19-77,Dinophysis tripos,Dinoflagellate,Dinophysis,tripos,1,1
19-77,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,2,1
19-85,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,0,1
19-85,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
19-85,Foraminifera,Foraminifera,(null),(null),0,1
12-25,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
12-25,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,1,1
12-45,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
12-45,Silicoflagellate 6 points,Silicoflagellate,Dictyocha,spp.,2,1
12-49,Tripos spp.,Dinoflagellate,Tripos,spp.,2,1
12-13,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
12-21,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
12-21,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
12-21,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,0,1
12-25,Tripos lunula,Dinoflagellate,Tripos (Tripoceratium),lunula,0,1
12-25,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
13-1,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3,1
13-1,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
13-9,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,4,1
13-69,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,6,1
13-69,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,1,1
13-61,Tripos vultur,Dinoflagellate,Tripos (Tripoceratium),vultur,0,1
13-33,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
13-33,Nematocysts,Other,(null),(null),2,1
13-33,Thalassiosira spp.,Centric diatom,Thalassiosira,spp.,3,1
13-61,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3,1
13-69,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
9-17,Tripos trichoceros,Dinoflagellate,Tripos (Tripoceratium),trichoceros,4,1
9-17,Tripos fusus,Dinoflagellate,Tripos (Amphiceratium),fusus,1,1
9-17,Tripos hexacanthus,Dinoflagellate,Tripos (Tripoceratium),hexacanthus,1,1
9-17,Tripos massiliensis,Dinoflagellate,Tripos (Tripoceratium),massiliensis,1,1
9-17,Tripos spp.,Dinoflagellate,Tripos,spp.,1,1
19-33,Tripos candelabrum,Dinoflagellate,Tripos (Ceratium),candelabrum,0,1
3-17,Chaetoceros (Hyalochaete),Centric diatom,Chaetoceros (Hyalochaete),spp.,4,1
3-17,Climacodium frauenfeldianum,Centric diatom,Climacodium,frauenfeldianum,3,1
3-17,Gazelletta hexanema,Radiozoa,Gazelletta,hexanema,2,1
3-17,Gold balls,Other,(null),(null),1,1
3-17,Guinardia spp.,Centric diatom,Guinardia,spp.,2,1
3-17,Silicoflagellate 4 points,Silicoflagellate,Dictyocha,spp.,1,1
