SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,TAXON_PER_M3
1066,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,1.4145
1046,Triconia spp. f,COPEPOD,Copepod,Triconia,spp.,2.5719
309,Euchaeta concinna f,COPEPOD,Copepod,Euchaeta,concinna,3.8861
652,Euchaeta concinna f,COPEPOD,Copepod,Euchaeta,concinna,2.7202
783,Euchaeta concinna f,COPEPOD,Copepod,Euchaeta,concinna,42.4358
427,Siphonophore abylidae,NON-COPEPOD,Cnidarian,(null),(null),1.943
130,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,6.4297
423,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,1.4434
395,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,12.8593
515,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,3.6457
540,Oncaea venusta medium hump f,COPEPOD,Copepod,Oncaea,venusta medium hump,9.6445
398,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,2.2102
1053,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,4.7151
1064,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,2.3575
1138,Centropages australiensis j,COPEPOD,Copepod,Centropages,australiensis,9.4302
143,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,21.762
436,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,7.0726
485,Calocalanus styliremis f,COPEPOD,Copepod,Calocalanus,styliremis,11.7877
103,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,24.7542
51,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,7.8585
62,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,3.5363
426,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,13.6012
59,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,1.7682
458,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,1.1051
714,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,9.6445
1024,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,18.8604
137,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,6.4297
617,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,2.5719
678,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,2.3575
785,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,12.8593
910,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,7.0726
1063,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,7.0726
50,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,11.7877
89,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,3.627
125,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,5.4405
424,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,0.2406
372,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,13.6012
382,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,1.0104
24,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,42.4358
445,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,2.2102
460,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,19.6462
521,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,10.478
522,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,13.6012
527,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,2.2669
734,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,6.4297
732,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,6.4297
530,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,7.0726
533,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,5.239
625,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,0.7073
640,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,1.4145
702,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,23.5755
778,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,31.4339
836,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,7.3673
973,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,6.4297
986,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,5.4405
889,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,3.9292
1016,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,15.717
1076,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,35.3632
196,Stomatopod,NON-COPEPOD,Decapod,(null),(null),0.1286
561,Stomatopod,NON-COPEPOD,Decapod,(null),(null),0.6736
535,Stomatopod,NON-COPEPOD,Decapod,(null),(null),0.3929
184,Corycaeus spp. m,COPEPOD,Copepod,Corycaeus,spp.,2.1432
754,Corycaeus spp. m,COPEPOD,Copepod,Corycaeus,spp.,4.7151
78,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,3.2148
518,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,19.8467
868,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,6.4297
90,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,263.2592
94,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,90.0154
71,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,55.0094
149,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,23.5755
401,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,22.9861
438,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,125.7358
398,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,39.7836
476,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,21.2179
516,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,7.0726
517,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,12.3771
547,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,28.2905
633,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,13.6012
728,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,91.9443
683,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,38.1922
704,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,11.7877
756,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,297.0507
738,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,660.1127
769,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,28.2905
772,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,7.0726
792,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,7.0726
802,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,6.4297
818,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,1045.5201
799,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,1933.1872
825,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,998.0275
864,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,888.0087
985,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,184.5035
1004,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,25.7187
1010,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,1.4145
1011,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,488.0119
995,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,1644.3879
63,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,7.0726
43,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,18.1868
440,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,78.5848
381,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,70.7264
59,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,3.5363
560,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,3.5363
547,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,3.5363
650,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,14.1453
688,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,54.4049
672,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,2.3575
858,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,53.0448
890,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,7.8585
876,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,15.717
1014,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,7.0726
479,Pseudevadne tergestina m,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,3.102
683,Oncaea clevei complex,COPEPOD,Copepod,Oncaea,clevei complex,1.4145
193,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,1.7682
130,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,6.4297
197,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.3153
114,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,39.2924
10,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,2.1218
365,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,39.7836
382,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.0311
458,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,11.051
411,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,19.4497
516,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,21.2179
517,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,14.1453
543,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.3153
666,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,14.1453
626,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,25.2594
563,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,3.2148
641,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,7.0726
683,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,2.8291
695,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,7.0726
670,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,7.8585
713,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,4.7151
762,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,14.1453
794,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,15.717
809,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,7.0726
842,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,4.7151
897,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,113.1622
877,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,31.4339
915,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,11.3162
903,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,77.799
1012,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,49.5085
281,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,1.0401
458,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,1.1051
138,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),7.8585
182,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),6.4297
112,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),77.799
71,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),7.8585
115,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),31.4339
383,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),102.1603
390,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),23.5755
391,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),4.4204
74,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),86.4433
487,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),6.4297
491,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),39.2924
494,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),0.7858
495,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),29.4693
512,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),56.5811
514,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),1.4145
521,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),47.1509
525,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),6.8006
532,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),330.0563
531,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),4.7151
671,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),7.8585
755,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),6.2868
758,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),14.1453
738,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),70.7264
775,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),204.3206
792,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),7.0726
834,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),1.5717
818,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),46.1259
848,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),23.5755
862,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),94.3018
890,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),31.4339
897,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),9.4302
906,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),31.4339
981,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),10.609
882,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),14.1453
1046,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),2.5719
1062,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),20.8019
1013,Sapphirina nigromaculata f,COPEPOD,Copepod,Sapphirina,nigromaculata,3.5363
156,Calanus australis f,COPEPOD,Copepod,Calanus,australis,22.102
75,Calanus australis f,COPEPOD,Copepod,Calanus,australis,8.3356
283,Calanus australis f,COPEPOD,Copepod,Calanus,australis,4.8624
391,Calanus australis f,COPEPOD,Copepod,Calanus,australis,1.4735
367,Calanus australis f,COPEPOD,Copepod,Calanus,australis,3.2148
541,Calanus australis f,COPEPOD,Copepod,Calanus,australis,12.9665
755,Calanus australis f,COPEPOD,Copepod,Calanus,australis,3.1434
44,Calanus australis m,COPEPOD,Copepod,Calanus,australis,2.9469
486,Calanus australis m,COPEPOD,Copepod,Calanus,australis,0.5239
672,Calanus australis m,COPEPOD,Copepod,Calanus,australis,4.7151
43,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,0.7858
283,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,15.9134
365,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,1.7682
770,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,1.2694
839,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,0.943
79,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,2.0208
22,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,0.0884
12,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,0.035
63,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,3.5363
875,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,7.0726
1072,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,12.8593
537,Lubbockia squillimana f,COPEPOD,Copepod,Lubbockia,squillimana,3.2148
49,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,8.8408
77,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,11.3667
60,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,3.5363
150,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,7.3673
117,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,23.8701
97,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,1.0104
379,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,70.7264
397,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,12.1561
486,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,5.239
421,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,4.2436
541,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,30.6481
531,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,80.1565
648,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,28.2905
682,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,4.4204
677,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,4.7151
738,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,7.8585
763,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,7.0726
764,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,42.4358
793,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,41.4928
834,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,5.5009
797,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,3.5363
806,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,9.4302
835,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,9.4302
839,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,31.1196
29,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,0.2947
21,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,0.3536
448,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,3.8176
487,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,6.4297
535,Clausocalanus spp. f,COPEPOD,Copepod,Clausocalanus,spp.,0.3929
152,Clytemnestra spp. j,COPEPOD,Copepod,Clytemnestra,spp.,0.7367
36,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),6.4297
49,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),2.9469
151,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1.7682
17,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),3.1434
19,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1.0104
413,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),6.4297
531,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),70.7264
643,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),2.3575
876,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),31.4339
285,Calanoid j,COPEPOD,Copepod,(null),(null),803.7086
79,Calanoid j,COPEPOD,Copepod,(null),(null),85.882
136,Calanoid j,COPEPOD,Copepod,(null),(null),137.9164
64,Calanoid j,COPEPOD,Copepod,(null),(null),1249.499
104,Calanoid j,COPEPOD,Copepod,(null),(null),356.9997
16,Calanoid j,COPEPOD,Copepod,(null),(null),557.6501
154,Calanoid j,COPEPOD,Copepod,(null),(null),459.7213
5,Calanoid j,COPEPOD,Copepod,(null),(null),308.6241
187,Calanoid j,COPEPOD,Copepod,(null),(null),1163.7701
108,Calanoid j,COPEPOD,Copepod,(null),(null),31.0108
1,Calanoid j,COPEPOD,Copepod,(null),(null),95.9858
157,Calanoid j,COPEPOD,Copepod,(null),(null),663.7397
2,Calanoid j,COPEPOD,Copepod,(null),(null),1.4499
146,Calanoid j,COPEPOD,Copepod,(null),(null),3209.8886
99,Calanoid j,COPEPOD,Copepod,(null),(null),45.3374
30,Calanoid j,COPEPOD,Copepod,(null),(null),26.1014
199,Calanoid j,COPEPOD,Copepod,(null),(null),66.306
63,Calanoid j,COPEPOD,Copepod,(null),(null),335.9502
71,Calanoid j,COPEPOD,Copepod,(null),(null),214.7986
149,Calanoid j,COPEPOD,Copepod,(null),(null),864.4333
18,Calanoid j,COPEPOD,Copepod,(null),(null),287.1369
62,Calanoid j,COPEPOD,Copepod,(null),(null),256.3831
310,Calanoid j,COPEPOD,Copepod,(null),(null),512.9604
308,Calanoid j,COPEPOD,Copepod,(null),(null),92.0698
374,Calanoid j,COPEPOD,Copepod,(null),(null),396.7023
440,Calanoid j,COPEPOD,Copepod,(null),(null),1351.6593
382,Calanoid j,COPEPOD,Copepod,(null),(null),74.7679
395,Calanoid j,COPEPOD,Copepod,(null),(null),533.6625
400,Calanoid j,COPEPOD,Copepod,(null),(null),318.2686
453,Calanoid j,COPEPOD,Copepod,(null),(null),829.4273
487,Calanoid j,COPEPOD,Copepod,(null),(null),630.1076
490,Calanoid j,COPEPOD,Copepod,(null),(null),1859.8413
491,Calanoid j,COPEPOD,Copepod,(null),(null),1139.4802
480,Calanoid j,COPEPOD,Copepod,(null),(null),15.717
498,Calanoid j,COPEPOD,Copepod,(null),(null),405.0692
500,Calanoid j,COPEPOD,Copepod,(null),(null),71.4336
514,Calanoid j,COPEPOD,Copepod,(null),(null),332.4139
472,Calanoid j,COPEPOD,Copepod,(null),(null),1387.3247
558,Calanoid j,COPEPOD,Copepod,(null),(null),557.9524
541,Calanoid j,COPEPOD,Copepod,(null),(null),81.3353
628,Calanoid j,COPEPOD,Copepod,(null),(null),1213.2291
638,Calanoid j,COPEPOD,Copepod,(null),(null),225.0384
652,Calanoid j,COPEPOD,Copepod,(null),(null),255.703
666,Calanoid j,COPEPOD,Copepod,(null),(null),268.7602
648,Calanoid j,COPEPOD,Copepod,(null),(null),240.4696
620,Calanoid j,COPEPOD,Copepod,(null),(null),503.2453
654,Calanoid j,COPEPOD,Copepod,(null),(null),129.0756
721,Calanoid j,COPEPOD,Copepod,(null),(null),1241.6405
684,Calanoid j,COPEPOD,Copepod,(null),(null),620.8203
