LATITUDE,LONGITUDE,SAMPLE_TIME_UTC,TAXON,ABUNDANCE_M3
-13.5,136.4,1975-11-01T00:00:00Z,Acrocalanus gracilis,1
-13.5,136.4,1975-11-01T00:00:00Z,Labidocera minuta,2
-13.5,136.4,1975-11-01T00:00:00Z,Oithona attenuata typical,1
-14,137,1975-11-01T00:00:00Z,Parvocalanus elegans,6
-14,137,1975-11-01T00:00:00Z,Euterpina acutifrons,39.5
-14,137,1975-11-01T00:00:00Z,Ditrichocorycaeus asiaticus,16
-14,137,1975-11-01T00:00:00Z,Onychocorycaeus catus,1
-14,137,1975-11-01T00:00:00Z,Onychocorycaeus agilis,3.5
-14,137,1975-11-01T00:00:00Z,Oncaea venusta complex,5.5
-14,137,1975-11-01T00:00:00Z,Microsetella rosea,2
-14,138,1975-11-01T00:00:00Z,Sapphirina nigromaculata,0.5
-14,138,1975-11-01T00:00:00Z,Clausocalanus minor,10.5
-14,138,1975-11-01T00:00:00Z,Clausocalanus furcatus,19
-14,138,1975-11-01T00:00:00Z,Macrosetella gracilis,14.5
-14,138,1975-11-01T00:00:00Z,Labidocera acuta,1
-14,139,1975-11-01T00:00:00Z,Sapphirina stellata,0.5
-14,139,1975-11-01T00:00:00Z,Subeucalanus subcrassus,1
-14,139,1975-11-01T00:00:00Z,Clytemnestra scutellata,1.5
-14,139,1975-11-01T00:00:00Z,Oncaea clevei complex,2
-14,140,1975-11-01T00:00:00Z,Clausocalanus minor,3.8
-14,140,1975-11-01T00:00:00Z,Centropages furcatus,0.8
-14,140,1975-11-01T00:00:00Z,Clytemnestra scutellata,0.8
-14,140,1975-11-01T00:00:00Z,Oithona attenuata typical,0.5
-14,141,1975-11-01T00:00:00Z,Pontellopsis scotti,0.5
-14,141,1975-11-01T00:00:00Z,Parvocalanus latus,19
-14,141,1975-11-01T00:00:00Z,Candacia discaudata,0.5
-14,141,1975-11-01T00:00:00Z,Macrosetella gracilis,43
-14,141,1975-11-01T00:00:00Z,Oithona attenuata typical,4
-15,140,1975-11-01T00:00:00Z,Sapphirina nigromaculata,1
-15,140,1975-11-01T00:00:00Z,Candacia catula,0.5
-15,138,1975-11-01T00:00:00Z,Clausocalanus minor,5
-15,136,1975-11-01T00:00:00Z,Corycaeus sewelli (invalid),17.5
-15,136,1975-11-01T00:00:00Z,Ditrichocorycaeus asiaticus,4.5
-15,136,1975-11-01T00:00:00Z,Acartia (Odontacartia) pacifica,30.5
-15,136,1975-11-01T00:00:00Z,Acrocalanus gibber,16
-15,136,1975-11-01T00:00:00Z,Oithona plumifera,8
-16,137.5,1975-11-01T00:00:00Z,Centropages furcatus,0.5
-16,139,1975-11-01T00:00:00Z,Temora turbinata,1.5
-16,139,1975-11-01T00:00:00Z,Canthocalanus pauper,1
-16,139,1975-11-01T00:00:00Z,Acartia (Odontacartia) amboinensis,113
-16,140,1975-11-01T00:00:00Z,Euterpina acutifrons,49.5
-16,140,1975-11-01T00:00:00Z,Ditrichocorycaeus lubbocki,7
-16,140,1975-11-01T00:00:00Z,Calanopia aurivilli,3
-16,140,1975-11-01T00:00:00Z,Acartia (Odontacartia) pacifica,1
-16,140,1975-11-01T00:00:00Z,Macrosetella gracilis,14
-16,141,1975-11-01T00:00:00Z,Pseudodiaptomus mertoni,40.5
-16,141,1975-11-01T00:00:00Z,Ditrichocorycaeus andrewsi,2.5
-16,141,1975-11-01T00:00:00Z,Calanopia aurivilli,0.5
-16,141,1975-11-01T00:00:00Z,Oncaea media complex,2.5
-17,140,1975-11-01T00:00:00Z,Parvocalanus latus,17
-17,140,1975-11-01T00:00:00Z,Ditrichocorycaeus andrewsi,34
-17,140,1975-11-01T00:00:00Z,Onychocorycaeus catus,0.5
-17,140,1975-11-01T00:00:00Z,Clytemnestra scutellata,4
-17,140,1975-11-01T00:00:00Z,Acrocalanus gibber,37
-17.5,140.5,1975-11-01T00:00:00Z,Canthocalanus pauper,4.5
-17.5,140.5,1975-11-01T00:00:00Z,Labidocera kroyeri stylifera,1.5
-12,137,1976-05-01T00:00:00Z,Paracalanus denudatus,2.5
-12,138,1976-05-01T00:00:00Z,Candacia truncata,3
-12,138,1976-05-01T00:00:00Z,Calocalanus plumulosus,1.5
-12,138,1976-05-01T00:00:00Z,Macrosetella gracilis,13
-12,138,1976-05-01T00:00:00Z,Corycaeus speciosus,7.5
-12,139,1976-05-01T00:00:00Z,Scolecithricella orientalis,24
-12,139,1976-05-01T00:00:00Z,Oncaea venusta complex,16.5
-12,139,1976-05-01T00:00:00Z,Acartia (Odontacartia) amboinensis,9
-12,140,1976-05-01T00:00:00Z,Scolecithricella orientalis,11
-12,140,1976-05-01T00:00:00Z,Oncaea venusta complex,12
-12,140,1976-05-01T00:00:00Z,Nannocalanus minor,0.5
-12,140,1976-05-01T00:00:00Z,Calocalanus pavo,1
-12,140,1976-05-01T00:00:00Z,Farranula gibbula,7
-12,140,1976-05-01T00:00:00Z,Labidocera minuta,3
-12,140,1976-05-01T00:00:00Z,Onychocorycaeus catus,1
-12,140,1976-05-01T00:00:00Z,Acrocalanus gibber,6.5
-12,140,1976-05-01T00:00:00Z,Acrocalanus gracilis,21.5
-12,141,1976-05-01T00:00:00Z,Temora turbinata,0.5
-12,141,1976-05-01T00:00:00Z,Undinula vulgaris,2
-12,141,1976-05-01T00:00:00Z,Oncaea clevei complex,18.5
-12,141,1976-05-01T00:00:00Z,Lucicutia tranteri (invalid),2
-12,141,1976-05-01T00:00:00Z,Clausocalanus minor,1
-12.25,141.5,1976-05-01T00:00:00Z,Paracalanus denudatus,5
-12.25,141.5,1976-05-01T00:00:00Z,Oithona attenuata typical,7.5
-12.25,141.5,1976-05-01T00:00:00Z,Ditrichocorycaeus dahli,2
-12.25,141.5,1976-05-01T00:00:00Z,Anawekia spinosa,3.5
-13,140,1976-05-01T00:00:00Z,Pontellina morii,0.8
-13,140,1976-05-01T00:00:00Z,Euterpina acutifrons,32.3
-13,138,1976-05-01T00:00:00Z,Labidocera minuta,1.5
-13,138,1976-05-01T00:00:00Z,Onychocorycaeus agilis,5.5
-13,138,1976-05-01T00:00:00Z,Centropages orsinii,0.5
-13,138,1976-05-01T00:00:00Z,Clytemnestra scutellata,4
-13.5,136.4,1976-05-01T00:00:00Z,Sapphirina nigromaculata,1
-13.5,136.4,1976-05-01T00:00:00Z,Subeucalanus subcrassus,27
-14,137,1976-05-01T00:00:00Z,Paracalanus aculeatus,127
-14,137,1976-05-01T00:00:00Z,Oithona attenuata typical,5
-14,137,1976-05-01T00:00:00Z,Onychocorycaeus agilis,1
-14,137,1976-05-01T00:00:00Z,Acrocalanus gracilis,2
-14,138,1976-05-01T00:00:00Z,Temora discaudata,6.5
-14,138,1976-05-01T00:00:00Z,Parvocalanus elegans,1.5
-14,138,1976-05-01T00:00:00Z,Parvocalanus crassirostris,0.5
-14,138,1976-05-01T00:00:00Z,Euterpina acutifrons,3.5
-14,138,1976-05-01T00:00:00Z,Oithona plumifera,20.5
-14,138,1976-05-01T00:00:00Z,Ditrichocorycaeus erythraeus,1
-14,138,1976-05-01T00:00:00Z,Clausocalanus minor,4
-14,138,1976-05-01T00:00:00Z,Acrocalanus gibber,2
-14,139,1976-05-01T00:00:00Z,Oncaea venusta complex,3.5
-14,139,1976-05-01T00:00:00Z,Calocalanus pavo,2
-14,139,1976-05-01T00:00:00Z,Farranula concinna,9
-14,139,1976-05-01T00:00:00Z,Acrocalanus gibber,1
-14,141,1976-05-01T00:00:00Z,Subeucalanus subcrassus,0.5
-14,141,1976-05-01T00:00:00Z,Oithona plumifera,0.5
-14,141,1976-05-01T00:00:00Z,Clytemnestra scutellata,0.5
-15,140,1976-05-01T00:00:00Z,Parvocalanus elegans,3.5
-15,140,1976-05-01T00:00:00Z,Parvocalanus latus,2.5
-15,140,1976-05-01T00:00:00Z,Onychocorycaeus agilis,1.5
-15,136,1976-05-01T00:00:00Z,Parvocalanus crassirostris,8
-15,136,1976-05-01T00:00:00Z,Ditrichocorycaeus erythraeus,9.5
-15,136,1976-05-01T00:00:00Z,Clytemnestra scutellata,3
-16,137.5,1976-05-01T00:00:00Z,Parvocalanus elegans,103
-16,137.5,1976-05-01T00:00:00Z,Calanopia elliptica,0.5
-16,139,1976-05-01T00:00:00Z,Parvocalanus latus,10
-16,139,1976-05-01T00:00:00Z,Candacia catula,0.5
-16,139,1976-05-01T00:00:00Z,Ditrichocorycaeus asiaticus,6
-16,139,1976-05-01T00:00:00Z,Canthocalanus pauper,15.5
-16,140,1976-05-01T00:00:00Z,Candacia catula,2
-16,141,1976-05-01T00:00:00Z,Macrosetella gracilis,1
-16,141,1976-05-01T00:00:00Z,Ditrichocorycaeus subtilis,0.5
-16,141,1976-05-01T00:00:00Z,Acartia (Odontacartia) pacifica,1
-17,140,1976-05-01T00:00:00Z,Acrocalanus gibber,50
-15,140,1976-06-01T00:00:00Z,Temora discaudata,0.5
-15,140,1976-06-01T00:00:00Z,Oithona plumifera,26.5
-15,140,1976-06-01T00:00:00Z,Calocalanus pavo,2
-15,138,1976-06-01T00:00:00Z,Parvocalanus elegans,2.5
-15,138,1976-06-01T00:00:00Z,Temora turbinata,3
-15,138,1976-06-01T00:00:00Z,Ditrichocorycaeus subtilis,0.5
-15,138,1976-06-01T00:00:00Z,Microsetella rosea,5
-15,136,1976-06-01T00:00:00Z,Corycaeus speciosus,2.5
-15,136,1976-06-01T00:00:00Z,Onychocorycaeus agilis,1.5
-16,137.5,1976-06-01T00:00:00Z,Oncaea clevei complex,14
-16,139,1976-06-01T00:00:00Z,Lucicutia tranteri (invalid),10
-16,139,1976-06-01T00:00:00Z,Oithona plumifera,22
-16,139,1976-06-01T00:00:00Z,Calanopia elliptica,0.5
-16,139,1976-06-01T00:00:00Z,Calocalanus pavo,0.5
-16,139,1976-06-01T00:00:00Z,Onychocorycaeus catus,0.5
-16,140,1976-06-01T00:00:00Z,Corycaeus speciosus,3.5
-16,140,1976-06-01T00:00:00Z,Macrosetella gracilis,1
-16,140,1976-06-01T00:00:00Z,Temora turbinata,1.5
-16,140,1976-06-01T00:00:00Z,Acartia (Odontacartia) pacifica,0.3
-16,141,1976-06-01T00:00:00Z,Acartia (Odontacartia) pacifica,1.4
-16,141,1976-06-01T00:00:00Z,Oithona plumifera,1
-16,141,1976-06-01T00:00:00Z,Pseudodiaptomus mertoni,1.8
-16,141,1976-06-01T00:00:00Z,Onychocorycaeus agilis,0.2
-17.5,140.5,1976-06-01T00:00:00Z,Acartia (Odontacartia) pacifica,0.5
-17.5,140.5,1976-06-01T00:00:00Z,Calanopia aurivilli,10.7
-17.5,140.5,1976-06-01T00:00:00Z,Euterpina acutifrons,7.5
-17.5,140.5,1976-06-01T00:00:00Z,Oncaea media complex,0.1
-12,137,1976-09-01T00:00:00Z,Temora discaudata,7.4
-12,137,1976-09-01T00:00:00Z,Paracalanus aculeatus,131.4
-12,137,1976-09-01T00:00:00Z,Onychocorycaeus pacificus,3.4
-12,137,1976-09-01T00:00:00Z,Corycaeus sewelli (invalid),9.1
-12,137,1976-09-01T00:00:00Z,Acartia (Odontacartia) amboinensis,4
-12,137,1976-09-01T00:00:00Z,Acrocalanus gracilis,12.6
-12,137,1976-09-01T00:00:00Z,Ditrichocorycaeus erythraeus,8
-12,137,1976-09-01T00:00:00Z,Clausocalanus minor,2.9
-12,138,1976-09-01T00:00:00Z,Acrocalanus longicornis,29.1
-12,139,1976-09-01T00:00:00Z,Lucicutia tranteri (invalid),2.9
-12,139,1976-09-01T00:00:00Z,Farranula concinna,4.6
-12,139,1976-09-01T00:00:00Z,Canthocalanus pauper,10.9
-12,140,1976-09-01T00:00:00Z,Sapphirina nigromaculata,0.5
-12,140,1976-09-01T00:00:00Z,Subeucalanus crassus,4.5
-12,140,1976-09-01T00:00:00Z,Acrocalanus gibber,5.5
-12,141,1976-09-01T00:00:00Z,Scolecithricella orientalis,10.3
-12,141,1976-09-01T00:00:00Z,Subeucalanus subcrassus,1.7
-12,141,1976-09-01T00:00:00Z,Ditrichocorycaeus subtilis,1.1
-12,141,1976-09-01T00:00:00Z,Acrocalanus gracilis,0.6
-12,141,1976-09-01T00:00:00Z,Ditrichocorycaeus andrewsi,0.6
-12.25,141.5,1976-09-01T00:00:00Z,Lucicutia tranteri (invalid),5.1
-12.25,141.5,1976-09-01T00:00:00Z,Parvocalanus latus,13.7
-12.25,141.5,1976-09-01T00:00:00Z,Microsetella rosea,26.3
-12.25,141.5,1976-09-01T00:00:00Z,Euterpina acutifrons,153.7
-13,140,1976-09-01T00:00:00Z,Labidocera acuta,0.5
-13,140,1976-09-01T00:00:00Z,Temora turbinata,0.5
-13,140,1976-09-01T00:00:00Z,Onychocorycaeus pacificus,6
-13,140,1976-09-01T00:00:00Z,Ditrichocorycaeus lubbocki,0.5
-13,140,1976-09-01T00:00:00Z,Acrocalanus gracilis,1.5
-13,140,1976-09-01T00:00:00Z,Clausocalanus minor,5
-13,138,1976-09-01T00:00:00Z,Nannocalanus minor,0.5
-13,138,1976-09-01T00:00:00Z,Undinula vulgaris,0.5
-13,138,1976-09-01T00:00:00Z,Sapphirina gastrica,1
-13,138,1976-09-01T00:00:00Z,Sapphirina nigromaculata,1.5
-13,138,1976-09-01T00:00:00Z,Macrosetella gracilis,59.5
-13,138,1976-09-01T00:00:00Z,Canthocalanus pauper,7.5
-13.5,136.4,1976-09-01T00:00:00Z,Pseudodiaptomus mertoni,13.1
-13.5,136.4,1976-09-01T00:00:00Z,Acartia (Odontacartia) pacifica,18.3
-13.5,136.4,1976-09-01T00:00:00Z,Candacia discaudata,0.6
-13.5,136.4,1976-09-01T00:00:00Z,Centropages orsinii,0.6
-14,137,1976-09-01T00:00:00Z,Temora turbinata,5.7
-14,137,1976-09-01T00:00:00Z,Oncaea media complex,11.2
-14,138,1976-09-01T00:00:00Z,Parvocalanus crassirostris,4.5
-14,138,1976-09-01T00:00:00Z,Ditrichocorycaeus subtilis,1.5
-14,138,1976-09-01T00:00:00Z,Ditrichocorycaeus asiaticus,1.5
-14,138,1976-09-01T00:00:00Z,Onychocorycaeus catus,1
-14,138,1976-09-01T00:00:00Z,Clytemnestra scutellata,2.5
-14,138,1976-09-01T00:00:00Z,Copilia mirabilis,1.5
-14,139,1976-09-01T00:00:00Z,Labidocera kroyeri stylifera,0.9
-14,139,1976-09-01T00:00:00Z,Lucicutia tranteri (invalid),9.7
-14,139,1976-09-01T00:00:00Z,Temora discaudata,2.9
-14,139,1976-09-01T00:00:00Z,Paracalanus aculeatus,36.9
-14,139,1976-09-01T00:00:00Z,Canthocalanus pauper,6
-14,140,1976-09-01T00:00:00Z,Microsetella rosea,1
-14,141,1976-09-01T00:00:00Z,Acartia (Odontacartia) erythraea,21.7
-14,141,1976-09-01T00:00:00Z,Acartia (Odontacartia) pacifica,2.9
-15,140,1976-09-01T00:00:00Z,Labidocera kroyeri stylifera,0.5
-15,140,1976-09-01T00:00:00Z,Acartia (Odontacartia) amboinensis,1
-15,140,1976-09-01T00:00:00Z,Ditrichocorycaeus erythraeus,5
-15,140,1976-09-01T00:00:00Z,Clausocalanus minor,37
-15,138,1976-09-01T00:00:00Z,Labidocera bengalensis,1
-15,138,1976-09-01T00:00:00Z,Lucicutia tranteri (invalid),11
-15,138,1976-09-01T00:00:00Z,Temora discaudata,11.5
-15,138,1976-09-01T00:00:00Z,Oncaea media complex,82.5
-15,138,1976-09-01T00:00:00Z,Acartia (Odontacartia) amboinensis,4.5
-15,138,1976-09-01T00:00:00Z,Clausocalanus minor,29
-15,138,1976-09-01T00:00:00Z,Canthocalanus pauper,22
-15,136,1976-09-01T00:00:00Z,Oithona plumifera,17.1
-15,136,1976-09-01T00:00:00Z,Acrocalanus longicornis,0.6
