SAMPLE,STATION,SAMPLEDATELOCAL,NRS_CODE,TAXON_NAME,SPCODE,COUNTS,SAMPVOL_M3
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Gerres subfasciatus",37349005,1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Lethrinus spp.",37351902,11,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Mullidae - undifferentiated",37355000,5,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Chaetodontidae - undifferentiated",37365900,1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Sphyraena spp.",37382901,1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Labridae - undifferentiated",37384000,4,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Plagiotremus spp.",37408921,1,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Callionymidae - undifferentiated",37427917,6,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Gobiidae - undifferentiated",37428000,4,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Scombridae - undifferentiated",37441000,5,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Scomber australasicus",37441001,2,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Engyprosopon spp.",37460908,2,152.80000000000001
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Sardinops sagax",37085002,6,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Engraulis australis",37086001,8,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Scorpaenidae - undifferentiated",37287900,1,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Platycephalidae - undifferentiated",37296900,8,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Serranidae subfam. Anthiinae",37311907,3,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Sillago flindersi",37330014,1,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Pomatomus saltatrix",37334002,5,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Trachurus novaezelandiae",37337003,22,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Lutjanidae - undifferentiated",37346932,21,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Lethrinus spp.",37351902,13,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Pomacentridae - undifferentiated",37372000,2,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Labridae - undifferentiated",37384000,9,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Pinguipedidae - undifferentiated",37390000,1,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Callionymidae - undifferentiated",37427917,5,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Gobiidae - undifferentiated",37428000,4,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Scombridae - undifferentiated",37441000,5,112.1
501,North Stradbroke,2014-10-20 10:45:00,NSI20141020,"Engyprosopon spp.",37460908,7,112.1
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Sardinops sagax",37085002,2,166.9
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Myctophidae - undifferentiated",37122000,1,166.9
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Platycephalidae - undifferentiated",37296900,3,166.9
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Trachurus novaezelandiae",37337003,6,166.9
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Chrysophrys auratus",37353001,2,166.9
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Lophonectes gallus",37460001,1,166.9
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Monacanthidae - undifferentiated",37465903,5,166.9
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Sardinops sagax",37085002,4,180.17
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Platycephalidae - undifferentiated",37296900,2,180.17
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Trachurus novaezelandiae",37337003,4,180.17
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Lophonectes gallus",37460001,1,180.17
518,Port Hacking,2014-09-11 10:13:00,PHB20140911,"Monacanthidae - undifferentiated",37465903,3,180.17
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Trachurus novaezelandiae",37337003,1,433.12
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Sardinops sagax",37085002,1,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Scorpaenidae - undifferentiated",37287900,1,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Triglidae & Peristediidae - undifferentiated",37288000,1,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Platycephalidae - undifferentiated",37296900,5,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Acanthistius spp.",37311912,1,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Trachurus novaezelandiae",37337003,7,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Pseudocaranx georgianus",37337062,2,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Girella tricuspidata",37361007,2,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Labridae - undifferentiated",37384000,1,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Callionymidae - undifferentiated",37427917,1,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Arnoglossus spp.",37460902,1,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Pseudorhombus spp.",37460919,2,183.03
536,Port Hacking,2014-10-22 09:30:00,PHB20141021,"Monacanthidae - undifferentiated",37465903,1,183.03
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Gonostomatidae - undifferentiated",37106912,1,130.6
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Myctophidae - undifferentiated",37122000,4,130.6
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Triglidae & Peristediidae - undifferentiated",37288000,1,130.6
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Trachurus novaezelandiae",37337003,1,130.6
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Pseudocaranx georgianus",37337062,1,130.6
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Pomacentridae - undifferentiated",37372000,3,130.6
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Scombridae - undifferentiated",37441000,34,130.6
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Gonostomatidae - undifferentiated",37106912,2,113.3
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Myctophidae - undifferentiated",37122000,3,113.3
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Scorpaenidae - undifferentiated",37287900,2,113.3
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Triglidae & Peristediidae - undifferentiated",37288000,1,113.3
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Decapterus spp.",37337901,2,113.3
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Lutjanidae - undifferentiated",37346932,1,113.3
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Scombridae - undifferentiated",37441000,40,113.3
537,North Stradbroke,2014-11-07 10:35:00,NSI20141107,"Engyprosopon spp.",37460908,1,113.3
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,""Superclass" Pisces - undifferentiated",37000000,1,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Myctophidae - undifferentiated",37122000,1,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Holocentridae - undifferentiated",37261000,2,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Priacanthidae - undifferentiated",37326000,2,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Coryphaena spp.",37338901,2,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Lutjanidae - undifferentiated",37346932,4,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Lethrinus spp.",37351902,1,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Pomacentridae - undifferentiated",37372000,1,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Labridae - undifferentiated",37384000,1,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Microdesmidae - undifferentiated",37435000,2,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Scombridae - undifferentiated",37441000,34,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Grammatobothus spp.",37460909,2,153.1
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Myctophidae - undifferentiated",37122000,1,153
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Priacanthidae - undifferentiated",37326000,3,153
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Lutjanidae - undifferentiated",37346932,4,153
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Mullidae - undifferentiated",37355000,2,153
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Chaetodontidae - undifferentiated",37365900,1,153
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Pomacentridae - undifferentiated",37372000,1,153
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Gobiidae - undifferentiated",37428000,1,153
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Scombridae - undifferentiated",37441000,41,153
538,North Stradbroke,2014-12-23 10:35:00,NSI20141223,"Grammatobothus spp.",37460909,1,153
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,""Superclass" Pisces - undifferentiated",37000000,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Gonostomatidae - undifferentiated",37106912,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Holocentridae - undifferentiated",37261000,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Scorpaenidae - undifferentiated",37287900,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Priacanthidae - undifferentiated",37326000,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Carangidae - undifferentiated",37337000,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Lutjanidae - undifferentiated",37346932,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Mullidae - undifferentiated",37355000,14,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Chaetodontidae - undifferentiated",37365900,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Callionymidae - undifferentiated",37427917,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Gobiidae - undifferentiated",37428000,1,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Scombridae - undifferentiated",37441000,12,129.5
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,""Superclass" Pisces - undifferentiated",37000000,2,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Myctophidae - undifferentiated",37122000,1,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Scorpaenidae - undifferentiated",37287900,5,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Serranidae subfam. Anthiinae",37311907,1,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Serranidae subfam. Epinephelinae",37311908,1,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Priacanthidae - undifferentiated",37326000,1,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Carangidae - undifferentiated",37337000,2,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Lutjanidae - undifferentiated",37346932,5,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Mullidae - undifferentiated",37355000,2,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Chaetodontidae - undifferentiated",37365900,2,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Sphyraena spp.",37382901,2,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Labridae - undifferentiated",37384000,3,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Gobiidae - undifferentiated",37428000,1,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Microdesmidae - undifferentiated",37435000,1,118.2
540,North Stradbroke,2015-01-19 10:35:00,NSI20150119,"Scombridae - undifferentiated",37441000,11,118.2
541,Maria Island,2014-11-28 09:30:00,MAI20141127,""Superclass" Pisces - undifferentiated",37000000,2,483
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Myctophidae - undifferentiated",37122000,1,483
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Helicolenus spp.",37287918,2,483
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Chironemus spp.",37375901,9,483
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Labridae - undifferentiated",37384000,13,483
541,Maria Island,2014-11-28 09:30:00,MAI20141127,""Superclass" Pisces - undifferentiated",37000000,1,481.7
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Myctophidae - undifferentiated",37122000,1,481.7
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Stigmatopora nigra",37282018,2,481.7
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Scorpaenidae - undifferentiated",37287900,8,481.7
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Lepidotrigla papilio",37288002,1,481.7
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Chironemus spp.",37375901,5,481.7
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Labridae - undifferentiated",37384000,5,481.7
541,Maria Island,2014-11-28 09:30:00,MAI20141127,"Monacanthidae - undifferentiated",37465903,1,481.7
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Trachurus declivis",37337002,1,369.4
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Labridae - undifferentiated",37384000,1,369.4
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Monacanthidae - undifferentiated",37465903,1,369.4
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Engraulis australis",37086001,4,485.6
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Myctophidae - undifferentiated",37122000,1,485.6
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Aulotrachichthys spp.",37255901,1,485.6
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Helicolenus spp.",37287918,2,485.6
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Platycephalidae - undifferentiated",37296900,1,485.6
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Latridae - undifferentiated",37378000,1,485.6
543,Maria Island,2014-12-09 10:05:00,MAI20141208,"Bothidae - undifferentiated",37460922,1,485.6
546,Kangaroo Island,2014-10-29 11:00:00,KAI20141029,"Sardinops sagax",37085002,9,91.037149389999996
546,Kangaroo Island,2014-10-29 11:00:00,KAI20141029,"Scorpaenidae - undifferentiated",37287900,1,91.037149389999996
546,Kangaroo Island,2014-10-29 11:00:00,KAI20141029,"Serranidae subfam. Anthiinae",37311907,1,91.037149389999996
546,Kangaroo Island,2014-10-29 11:00:00,KAI20141029,"Carangidae - undifferentiated",37337000,2,91.037149389999996
546,Kangaroo Island,2014-10-29 11:00:00,KAI20141029,"Callionymidae - undifferentiated",37427917,1,91.037149389999996
546,Kangaroo Island,2014-10-29 11:00:00,KAI20141029,"Sardinops sagax",37085002,12,106.11851299999999
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Sardinops sagax",37085002,4,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Scorpaenidae - undifferentiated",37287900,1,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Triglidae & Peristediidae - undifferentiated",37288000,2,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Carangidae - undifferentiated",37337000,4,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Mullidae - undifferentiated",37355000,22,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Labridae - undifferentiated",37384000,1,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Tripterygiidae - undifferentiated",37415000,1,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Trichiuridae - undifferentiated",37440000,1,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Scomber australasicus",37441001,41,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Monacanthidae - undifferentiated",37465903,2,198.97030570000001
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,""Superclass" Pisces - undifferentiated",37000000,10,266.37134429999998
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Sardinops sagax",37085002,11,266.37134429999998
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Triglidae & Peristediidae - undifferentiated",37288000,1,266.37134429999998
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Carangidae - undifferentiated",37337000,1,266.37134429999998
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Mullidae - undifferentiated",37355000,84,266.37134429999998
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Labridae - undifferentiated",37384000,1,266.37134429999998
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Tripterygiidae - undifferentiated",37415000,14,266.37134429999998
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Scomber australasicus",37441001,26,266.37134429999998
547,Kangaroo Island,2014-12-02 06:05:00,KAI20141201,"Monacanthidae - undifferentiated",37465903,2,266.37134429999998
562,Maria Island,2015-02-25 10:20:00,MAI20150224,""Superclass" Pisces - undifferentiated",37000000,2,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Sardinops sagax",37085002,5,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Engraulis australis",37086001,64,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Gaidropsarus spp.",37226902,1,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Aulotrachichthys spp.",37255901,3,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Lepidotrigla papilio",37288002,65,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Platycephalidae - undifferentiated",37296900,1,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Sillago flindersi",37330014,54,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Trachurus declivis",37337002,262,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Chrysophrys auratus",37353001,1,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Mugilidae - undifferentiated",37381000,2,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Callionymidae - undifferentiated",37427917,1,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Thyrsites atun",37439001,2,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Lophonectes gallus",37460001,122,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Monacanthidae - undifferentiated",37465903,7,317
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Sardinops sagax",37085002,12,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Engraulis australis",37086001,68,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Trachichthyidae - undifferentiated",37255000,3,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Aulotrachichthys spp.",37255901,6,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Neosebastes spp.",37287927,2,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Lepidotrigla papilio",37288002,61,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Sillago flindersi",37330014,57,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Trachurus declivis",37337002,193,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Labridae - undifferentiated",37384000,1,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Callionymidae - undifferentiated",37427917,1,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Thyrsites atun",37439001,2,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Seriolella spp.",37445909,1,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Lophonectes gallus",37460001,223,330.9
562,Maria Island,2015-02-25 10:20:00,MAI20150224,"Monacanthidae - undifferentiated",37465903,5,330.9
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,""Superclass" Pisces - undifferentiated",37000000,1,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Engraulis australis",37086001,4,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Gonostomatidae - undifferentiated",37106912,1,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Antigonia spp.",37267901,1,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Pomatomus saltatrix",37334002,1,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Carangidae - undifferentiated",37337000,6,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Lutjanidae - undifferentiated",37346932,4,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Lethrinus spp.",37351902,1,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Chaetodontidae - undifferentiated",37365900,5,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Sphyraena spp.",37382901,1,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Labridae - undifferentiated",37384000,2,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Plagiotremus spp.",37408921,1,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Callionymidae - undifferentiated",37427917,7,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Gobiidae - undifferentiated",37428000,1,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Scombridae - undifferentiated",37441000,4,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Balistidae - undifferentiated",37465900,2,120.8
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,""Superclass" Pisces - undifferentiated",37000000,6,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Gonostomatidae - undifferentiated",37106912,1,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Myctophidae - undifferentiated",37122000,1,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Holocentridae - undifferentiated",37261000,11,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Antigonia spp.",37267901,1,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Dactyloptena spp.",37308902,2,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Apogonidae - undifferentiated",37327926,1,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Sillago flindersi",37330014,1,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Pomatomus saltatrix",37334002,1,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Carangidae - undifferentiated",37337000,2,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Lutjanidae - undifferentiated",37346932,3,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Nemipteridae - undifferentiated",37347000,1,183.3
563,North Stradbroke,2015-03-04 10:30:00,NSI20150304,"Lethrinus spp.",37351902,1,183.3
