NRS_CODE,SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,TAXON_COUNT
NSI20090916,165,Nannocalanus minor f,COPEPOD,Copepod,Nannocalanus,minor,1
NSI20090916,165,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2
NSI20090916,165,Hyperiid amphipod,NON-COPEPOD,Amphipod,(null),(null),1
MAI20090716,22,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),5
MAI20091013,49,Acartia (Acartia) danae f,COPEPOD,Copepod,Acartia (Acartia),danae,1
MAI20091013,49,Pleuromamma gracilis m,COPEPOD,Copepod,Pleuromamma,gracilis,3
MAI20091207,152,Calanus australis f,COPEPOD,Copepod,Calanus,australis,1
MAI20091207,152,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,6
MAI20091013,49,Podon spp.,NON-COPEPOD,Cladoceran,Podon,spp.,1
MAI20091013,49,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),1
MAI20091207,152,Euphausiid furcilia larvae,NON-COPEPOD,Euphausiid,(null),(null),20
MAI20091207,152,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),34
MAI20091207,152,Thalia democratica agg,NON-COPEPOD,Thaliacean,Thalia,democratica,34
ESP20090623,64,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,9
ESP20090623,64,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,6
ESP20090623,64,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,3
ESP20090623,64,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,1
ESP20090623,64,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,3
ESP20090623,64,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,6
MAI20091207,152,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,1
ESP20090623,64,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),1
ESP20090623,64,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,1
PHB20100119,39,Candacia spp. j,COPEPOD,Copepod,Candacia,spp.,1
NSI20090114,288,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,6
NSI20090114,288,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),6
PHB20100119,39,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,3
PHB20100119,39,Nauplii harpacticoid,COPEPOD,Copepod,(null),(null),2
PHB20100119,39,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,1
PHB20100119,39,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,7
PHB20100119,39,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,12
PHB20100119,39,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),3
PHB20100119,39,Fish larvae,NON-COPEPOD,Fish,(null),(null),1
PHB20100119,39,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,299
NSI20080929,284,Lucicutia flavicornis f,COPEPOD,Copepod,Lucicutia,flavicornis,1
NSI20080929,284,Mecynocera clausi f,COPEPOD,Copepod,Mecynocera,clausi,3
PHB20181218,884,Calocalanus pavo f,COPEPOD,Copepod,Calocalanus,pavo,1
PHB20181218,884,Lucicutia spp. j,COPEPOD,Copepod,Lucicutia,spp.,2
PHB20181218,884,Oncaea spp. m >0.7mm,COPEPOD,Copepod,Oncaea,spp.,1
PHB20181218,884,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,7
PHB20181218,884,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,3
PHB20181218,884,Evadne spinifera f,NON-COPEPOD,Cladoceran,Evadne,spinifera,2
PHB20181218,884,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),8
NSI20081119,286,Acrocalanus gibber f,COPEPOD,Copepod,Acrocalanus,gibber,1
NSI20081119,286,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,10
NSI20081119,286,Macrosetella gracilis f,COPEPOD,Copepod,Macrosetella,gracilis,8
NSI20081119,286,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,5
NSI20081119,286,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,4
NSI20081119,286,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,4
NSI20081119,286,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,11
NSI20081119,286,Nauplii copepod,COPEPOD,Copepod,(null),(null),25
NSI20081217,287,Acartia (Acartiura) tranteri f,COPEPOD,Copepod,Acartia (Acartiura),tranteri,18
NSI20081217,287,Euterpina acutifrons m,COPEPOD,Copepod,Euterpina,acutifrons,12
NSI20081217,287,Macrosetella gracilis m,COPEPOD,Copepod,Macrosetella,gracilis,1
NSI20081217,287,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,23
NSI20081217,287,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,33
NSI20081217,287,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,6
NSI20081217,287,Bivalve,NON-COPEPOD,Mollusc,(null),(null),10
NSI20081217,287,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,9
NSI20081217,287,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),5
NSI20081217,287,Calanoid j,COPEPOD,Copepod,(null),(null),128
NSI20081217,287,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),2
NSI20081217,287,Calanid CV,COPEPOD,Copepod,(null),(null),1
NSI20081217,287,Clausocalanus arcuicornis m,COPEPOD,Copepod,Clausocalanus,arcuicornis,1
NSI20081217,287,Subeucalanus spp. j,COPEPOD,Copepod,Subeucalanus,spp.,1
NSI20081217,287,Barnacle nauplii,NON-COPEPOD,Cirripedia,(null),(null),1
NSI20081217,287,Sapphirina opalina m,COPEPOD,Copepod,Sapphirina,opalina,1
PHB20181218,884,Oncaea spp. m <0.4mm,COPEPOD,Copepod,Oncaea,spp.,1
NSI20090114,288,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,73
NSI20090114,288,Nauplii harpacticoid,COPEPOD,Copepod,(null),(null),18
NSI20090114,288,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,26
NSI20090114,288,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,5
NSI20090114,288,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),14
NSI20090114,288,Eucalanidae j,COPEPOD,Copepod,(null),(null),2
ROT20190306,904,Acartia (Acanthacartia) fossae f,COPEPOD,Copepod,Acartia (Acanthacartia),fossae,4
ROT20190306,904,Calanoid j,COPEPOD,Copepod,(null),(null),61
ROT20190306,904,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,12
ROT20190306,904,Caridea zoea,NON-COPEPOD,Decapod,(null),(null),1
ROT20190306,904,Evadne spinifera m,NON-COPEPOD,Cladoceran,Evadne,spinifera,2
ROT20190306,904,Penilia avirostris f gravid,NON-COPEPOD,Cladoceran,Penilia,avirostris,1
NSI20090218,289,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,6
NSI20090218,289,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,21
NSI20090218,289,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),16
KAI20190320,910,Clausocalanus jobei f (>1.2mm),COPEPOD,Copepod,Clausocalanus,jobei,2
KAI20190320,910,Clausocalanus spp. m,COPEPOD,Copepod,Clausocalanus,spp.,2
KAI20190320,910,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,3
KAI20190320,910,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,(null),(null),6
KAI20190320,910,Oithona nana f,COPEPOD,Copepod,Oithona,nana,2
NSI20090318,290,Centropages furcatus f,COPEPOD,Copepod,Centropages,furcatus,1
NSI20090318,290,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,31
NSI20090318,290,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,3
NSI20090318,290,Oncaea mediterranea complex f,COPEPOD,Copepod,Oncaea,mediterranea complex,2
KAI20190320,910,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,2
KAI20190320,910,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),11
NSI20090416,291,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,2
NSI20090416,291,Farranula spp. m,COPEPOD,Copepod,Farranula,spp.,1
NSI20090416,291,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,2
NSI20090416,291,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),3
KAI20190320,910,Mesosagitta minima,NON-COPEPOD,Chaetognath,Mesosagitta,minima,1
KAI20190320,910,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,151
NSI20090527,292,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,5
NSI20090527,292,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,11
NSI20090527,292,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,1
NSI20090527,292,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,11
NSI20090527,292,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,4
NSI20090527,292,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,11
NSI20090527,292,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),28
NSI20090527,292,Clausocalanus arcuicornis m,COPEPOD,Copepod,Clausocalanus,arcuicornis,1
NSI20190322,899,Oithona decipiens f,COPEPOD,Copepod,Oithona,decipiens,1
NSI20190322,899,Oncaea atlantica complex f,COPEPOD,Copepod,Oncaea,atlantica complex,1
NSI20190322,899,Oncaea zernovi complex f,COPEPOD,Copepod,Oncaea,zernovi complex,3
ESP20091216,50,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,28
ESP20091216,50,Harpacticoid j,COPEPOD,Copepod,(null),(null),6
ESP20091216,50,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,50
ESP20091216,50,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,15
ESP20091216,50,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,4
PHB20090920,136,Calanoid j,COPEPOD,Copepod,(null),(null),78
NSI20190322,899,Amphipod j,NON-COPEPOD,Amphipod,(null),(null),1
NSI20190322,899,Clione spp. ,NON-COPEPOD,Mollusc,Clione,spp.,1
ESP20090917,135,Canthocalanus pauper f,COPEPOD,Copepod,Canthocalanus,pauper,3
PHB20090920,136,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,99
PHB20090920,136,Penilia avirostris,NON-COPEPOD,Cladoceran,Penilia,avirostris,2
ESP20090917,135,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,9
ESP20090917,135,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,14
ESP20090917,135,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),6
ESP20091216,50,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,(null),(null),1
ROT20091222,104,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,23
NSI20091021,137,Calocalanus plumulosus f,COPEPOD,Copepod,Calocalanus,plumulosus,4
NSI20091021,137,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,2
NSI20091021,137,Onychocorycaeus agilis m,COPEPOD,Copepod,Onychocorycaeus,agilis,2
NSI20091021,137,Macrosetella gracilis f,COPEPOD,Copepod,Macrosetella,gracilis,2
NSI20091021,137,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,10
MAI20091111,37,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,9
MAI20091111,37,Oncaea venusta complex f,COPEPOD,Copepod,Oncaea,venusta complex,1
YON20090909,48,Eucalanus spp. j,COPEPOD,Copepod,Eucalanus,spp.,1
ROT20091026,138,Onychocorycaeus agilis m,COPEPOD,Copepod,Onychocorycaeus,agilis,1
ROT20091026,138,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,11
ROT20091026,138,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,25
ROT20091026,138,Temora turbinata f,COPEPOD,Copepod,Temora,turbinata,2
YON20090909,48,Oithona Grp1 (flat head) f,COPEPOD,Copepod,Oithona,grp 1,15
YON20090909,48,Cavoliniidae shell,NON-COPEPOD,Mollusc,(null),(null),12
YON20090909,48,Medusa,NON-COPEPOD,Cnidarian,(null),(null),1
YON20090909,48,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),104
YON20091215,20,Nauplii calanoid,COPEPOD,Copepod,(null),(null),56
YON20091215,20,Oncaea clevei complex f,COPEPOD,Copepod,Oncaea,clevei complex,2
YON20091215,20,Tortanus (Tortanus) barbatus f,COPEPOD,Copepod,Tortanus (Tortanus),barbatus,2
YON20091215,20,Bivalve,NON-COPEPOD,Mollusc,(null),(null),37
YON20091215,20,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),74
YON20091215,20,Ostracod,NON-COPEPOD,Ostracod,(null),(null),1
YON20100119,16,Centropages orsinii f,COPEPOD,Copepod,Centropages,orsinii,1
YON20100119,16,Limacina,NON-COPEPOD,Mollusc,Limacina,spp.,60
YON20100119,16,Polychaete,NON-COPEPOD,Polychaete,(null),(null),38
PHB20100316,12,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,5
PHB20100316,12,Onychocorycaeus agilis f,COPEPOD,Copepod,Onychocorycaeus,agilis,1
PHB20100316,12,Oithona spp. large m,COPEPOD,Copepod,Oithona,spp.,8
PHB20100316,12,Pleuromamma spp. j,COPEPOD,Copepod,Pleuromamma,spp.,1
PHB20100316,12,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),5
PHB20100316,12,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),3
NSI20091215,66,Gammarid amphipod,NON-COPEPOD,Amphipod,(null),(null),1
NSI20091215,66,Lucifer spp.,NON-COPEPOD,Decapod,Lucifer,spp.,1
NSI20091215,66,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),2
NSI20091021,137,Calanoid j,COPEPOD,Copepod,(null),(null),103
NSI20091021,137,Oithona Grp2 (diamond) f,COPEPOD,Copepod,Oithona,grp 2,5
NSI20091021,137,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,45
NSI20091021,137,Paracalanus indicus m,COPEPOD,Copepod,Paracalanus,indicus,3
NSI20091021,137,Subeucalanus spp. j,COPEPOD,Copepod,Subeucalanus,spp.,6
NSI20091021,137,Barnacle nauplii,NON-COPEPOD,Cirripedia,(null),(null),1
NSI20091021,137,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,17
NSI20091021,137,Euphausiid adult,NON-COPEPOD,Euphausiid,(null),(null),1
NSI20091021,137,Acartia (Acartiura) tranteri f,COPEPOD,Copepod,Acartia (Acartiura),tranteri,1
YON20090909,48,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,8
