SPCODE,TAXONNAME,BV_CELL,MONT2001PGN_CELL,PGC_CELL,TROPHY
418520,Coscinodiscus elegans,678583.44,3807.09,15446.24,NA
418539,Climacodium biconcavum,259704.77,1715.46,7088.2,NA
418581,Thalassiosira cf. mala,314.16,6.5,30.52,NA
418581,Thalassiosira mala,314.16,6.5,30.52,NA
418608,Triceratium pentacrinus,20341.69,207.17,898.45,NA
418625,Fragilaria granulata,438.25,8.57,39.98,NA
418647,Thalassionema bacillare,1083.19,18.16,83.28,NA
422713,Tripos pentagonus var.robustus,,,,NA
427448,Codonellopsis ostenfeldi,126642.73,2854.09,13606.47,NA
427570,Leprotintinnus nordqvistii,123779.69,2788.1,13317.43,NA
450714,Pseudoguinardia spp.,25132.72,246.92,1066.56,NA
495344,Pyramimonas formosa,32.72,,,NA
547539,Parahistioneis reticulata,,,,NA
549197,Coscinodiscus griseus,678583.44,3807.09,15446.24,NA
551456,Ulnaria ulna var. splendens,9800,113,496.91,NA
571657,Chrysochromulina adriatica,16.49,,,NA
573456,Detonula moseleyana,47712.9,420.37,1793.77,NA
573482,Lioloma elongatum,9375,108.92,479.36,NA
573572,Rhizosolenia fallax group,110583.97,844.55,3546.72,PP
573836,Chrysochromulina camella,245.04,,,NA
573874,Falcomonas daucoides,,,,NA
573879,Hemiselmis simplex,113.1,,,NA
573937,Phaeocystis scrobiculata,4.19,,9,NA
576272,Leptocylindrus adriaticus,2748.89,39.34,177.23,NA
577797,Papiliocellulus simplex,15.71,0.54,2.69,NA
577853,Nitzschia barronii,32300,304.09,1307.24,NA
578658,Cocconeis sublittoralis,2323.21,34.21,154.63,NA
146647,Aphanocapsa cf. holsatica,,,,NA
148899,Pennate diatom 50 - 75 µm,750,13.39,61.81,PP
148932,Thalassiosira pacifica,7068.58,86.16,381.24,NA
148936,Thalassiosira cf. punctigera,7068.58,86.16,381.24,NA
148963,Odontella spp. >350 µm cell length,1570795,7640.85,30510.23,PP
148963,Odontella spp. ~50 µm cell length,53014.33,458.78,1953.78,PP
148980,Porosira spp.,346360.3,2178.57,8952.61,PP
149031,Navicula cf. <20 µm length,367.5,7.41,34.66,PP
149069,Rhizosolenia cf. polydactyla,,,,NA
149073,Skeletonema spp.,410.5,8.12,37.91,PP
149079,Stephanodiscus spp.,351.86,7.14,33.46,NA
149110,Corethron criophilum - INVALID use C. pennatum,12067.31,134.31,588.27,NA
149111,Guinardia spp.,25132.72,246.92,1066.56,PP
149116,Rhizosolenia imbricata (no Richelia),282743.1,1840.85,7594.01,NA
149118,Bacteriastrum cf. spp.,6157.52,76.84,340.88,NA
149126,Chaetoceros decipiens > 15 µm cell width,18849.54,194.47,844.62,NA
149129,Chaetoceros cf. compressus,3141.59,43.95,197.51,PP
149134,Lauderia spp.,35342.89,327.68,1406.26,PP
149144,Meuniera spp.,23561.93,234.04,1012.17,NA
149150,Nitzschia cf. longissima,32300,304.09,1307.24,PP
149151,Pseudo-nitzschia fraudulenta/australis,1440,23,104.91,NA
149151,Pseudo-nitzschia pungens/multiseries,880,15.29,70.37,NA
149154,Triceratium cf. spp.,20341.69,207.17,898.45,NA
149181,Pleurosigma / Gyrosigma spp.,6000,75.2,333.79,NA
149181,Pleurosigma spp. < 150 µm,6000,75.2,333.79,NA
149230,Leptocylindrus mediterraneus (no flagellates),9424.77,109.4,481.42,PP
249711,Desmodesmus spp.,,,,NA
254445,Trigonium cf. spp.,576000,3322.87,13523.69,NA
254451,Tripos pentagonus var.tenerus,,,,NA
291406,Membraneis spp.,329866.95,2092.11,8605.29,PP
291409,Pseudo-nitzschia spp.,480,9.24,43.04,PP
291417,Paraphysomonas spp.,33.51,,,NA
292726,Lioloma spp.,9375,108.92,479.36,NA
341296,Cymatocylis spp.,1989.67,40.76,275.41,PZ
341396,Rhizosolenia sima f. sima,,,,NA
341497,Melosira adeliae,8309.51,98.54,434.68,NA
341502,Rhizosolenia chunii,116987.79,884.95,3712.4,NA
341506,Rhizosolenia cf. simplex,132732.18,982.73,4112.69,NA
341519,Thalassiosira cf. partheneia,549.78,10.34,48.05,NA
341529,Cocconeis fasciolata,2323.21,34.21,154.63,NA
341558,Fragilariopsis pseudonana,160.22,3.72,17.68,NA
341566,Nitzschia cf. bicapitata,126,3.05,14.55,PP
341579,Dinophysis antarctica,33870.27,827.37,3897.04,NA
341610,Pterosperma polygonum,15598.52,,,NA
341668,Epiplocylis undella,292276.78,6714.85,29840.32,NA
341684,Undella claparedi,11519.16,245.68,1432.51,PZ
345377,Protoperidinium roseum,77207.72,1665.35,7652.58,NA
345534,Thalassiosira diporocyclus,5428.67,69.21,307.77,NA
345547,Thalassiosira mediterranea,1884.95,28.76,130.52,NA
370145,Resultor spp.,,,,NA
376151,Pyramimonas obovata,32.72,,,NA
390664,Eudorina spp.,,,,NA
417136,Codonella cf. elongata,,,,NA
417237,Steenstrupiella intumescens,166451.91,3774.91,17587.85,NA
418171,Phalacroma sphaeroideum,30237.8,751.4,3551.27,NA
418241,Amphora egregia,195700.11,1356.39,5634.73,NA
149340,Grammatophora serpentina,4000,53.71,240.25,NA
149365,Fragilaria brevistriata,303.07,6.31,29.64,NA
149396,Diploneis crabro,30410.59,289.25,1244.87,NA
149419,Navicula crucigera,14962.5,160.55,700.36,NA
149608,Nitzschia filiformis,32300,304.09,1307.24,NA
156511,Ceratium hirundinella,60000,1344.41,6224.71,NA
156586,Pleurosigma strigosum,134096,991.1,4146.93,NA
156629,Coscinodiscus marginatus,357832.01,2238.29,9192.34,NA
157066,Licmophora lyngbyei,12182.87,135.37,592.84,NA
160519,Attheya spp.,2438.95,35.62,160.85,NA
160542,Actinastrum spp.,57.27,,,NA
160561,Pediastrum spp.,19634.94,,,NA
160572,Synechococcus spp.,14.14,8,0.2,NA
160581,Raphidophytes,1047.2,,,PP
160590,Monoraphidium spp.,104.72,,,NA
160602,Scenedesmus spp.,785.4,,,NA
160725,Amphora robusta,195700.11,1356.39,5634.73,NA
162258,Asteromphalus heptactis,333776.84,2112.67,8687.91,NA
162385,Arthrospira spp.,,,,NA
162940,Odontella aurita var. obtusa,75398.16,614.57,2599.75,NA
163056,Chaetoceros difficilis,1045.36,17.63,80.91,NA
163094,Imantonia cf. spp.,65.45,,,NA
163126,Chaetoceros socialis f. radians,251.33,5.4,25.47,NA
163233,Dimeregramma spp.,687.22,12.45,57.58,NA
163541,Planothidium delicatulum,1570.8,24.73,112.58,NA
163833,Protoperidinium avellana,77207.72,1665.35,7652.58,NA
163919,Tintinnopsis lobiancoi,,,,NA
172731,Navicula perminuta,14962.5,160.55,700.36,NA
175381,Nitzschia clausii,32300,304.09,1307.24,NA
176039,Surirella brebissonii,47123.85,416.06,1775.79,NA
176539,Tryblionella plana,2617.99,37.78,170.36,NA
177588,Pseudanabaena spp.,78.54,8,0.2,NA
177909,Caloneis fusioides,,,,NA
178589,Dunaliella spp.,4188.79,,,NA
178972,Dunaliella salina,4188.79,,,NA
179191,Amphora bigibba,195700.11,1356.39,5634.73,NA
179274,Euplotidae,,,,NA
179320,Mesodinium spp.,3817.03,79.37,507.77,PP
179412,Triceratium reticulum,20341.69,207.17,898.45,NA
180390,Lyrella spp.,25132.72,246.92,1066.56,PP
180560,Navicula florinae,14962.5,160.55,700.36,NA
183541,Dadayiella spp.,2617.99,53.96,356.36,PZ
183545,Steenstrupiella spp.,8906.41,188.83,1125.11,PZ
183546,Steenstrupiella steenstrupii,8906.41,188.83,1125.11,NA
183555,Acanthostomella spp.,1989.67,40.76,275.41,PZ
231799,Lingulodinium spp.,26724.52,676.59,3209.61,PP
231803,Ensiculifera spp.,,,,NA
232126,Amphisolenia brevicauda,39269.88,938.08,4398.94,NA
232129,Amphisolenia curvata,39269.88,938.08,4398.94,NA
232270,Dinophysis schroederi,7330.38,225.62,1112.63,NA
232323,Prorocentrum reticulatum,,,,NA
232324,Histioneis aequatorialis,,,,NA
232330,Histioneis carinata,,,,NA
232461,Prorocentrum concavum,2617.99,94.13,478.77,PP
232468,Prorocentrum clipeus,2047.27,76.4,391.44,NA
232515,Phalacroma rudgei,30237.8,751.4,3551.27,NA
232584,Amphidinium glaucum,3239.13,112.78,569.97,NA
232595,Pyrophacus vancampoae,368613.23,6279.15,27531.84,NA
232755,Gymnodinium frigidum,737.23,32.1,169.58,NA
232848,Gymnodinium punctatum,737.23,32.1,169.58,NA
232945,Gyrodinium glaciale,30869.26,764.7,3611.9,NA
233000,Gyrodinium submarinum,30869.26,764.7,3611.9,NA
233026,Karenia umbella,,,,NA
233084,Takayama cf. pulchella,6283.18,197.94,980.67,NA
233154,Warnowia rosea,1308995.83,18414.61,77729.53,NA
233166,Protoperidinium metananum,1886.92,71.28,366.15,NA
233198,Protoperidinium longipes,77207.72,1665.35,7652.58,NA
233433,Alexandrium fraterculus,2412.74,87.83,447.81,NA
233557,Gonyaulax minuta,312.22,15.48,83.9,NA
233620,Heterocapsa cf. niei,1178.1,47.79,248.95,NA
233643,Heterodinium australiae,65449.79,1447.4,6684.09,NA
233679,Heterodinium rigdenae,65449.79,1447.4,6684.09,NA
233740,Centrodinium pavillardii,471238.5,7735.06,33666.49,NA
233804,Protoperidinium quinquecorne,77207.72,1665.35,7652.58,NA
233859,Oxytoxum elongatum,3534.29,121.45,612.17,NA
233860,Oxytoxum gladiolus,3534.29,121.45,612.17,NA
235765,Undella hyalina,,,,NA
235815,Ephemera spp.,12600,139.21,609.25,PP
235866,Calyptrosphaera oblonga,5575.28,,,NA
235983,Umbellosphaera tenuis,523.6,,,NA
236074,Syracosphaera corolla,523.6,,,NA
246604,Pseudo-nitzschia australis,2695,38.7,174.41,NA
248088,Pleurosigma directum,217800,1482.35,6145.5,NA
248148,Pedinella spp.,268.08,,,NA
4,Fungal spores,,,,NA
11,Ciliate 10-20 µm,,,,NA
11,Ciliophora,10226.53,,,NA
8030,Anisonema spp.,,,,NA
17640,Cryptomonadales,785.4,,,NA
103987,Bicosoeca spp.,8.38,,,NA
105529,Stephanoeca spp.,113.1,,,NA
105623,Stephanoeca diplocostata,113.1,,,NA
106308,Goniomonas pacifica,220.89,,,NA
106309,Goniomonas truncata,220.89,,,NA
109392,Gymnodinioid dinoflagellate 20-30 µm,1963.49,73.73,378.27,MP
109408,Goniodomataceae,65449.79,1447.4,6684.09,NA
109468,Fragilidium spp.,41887.87,990.91,4637.71,NA
109474,Cochlodinium spp.,23090.69,597.64,2847.53,PZ
109476,Gyrodinium spp. 60-80 µm,65973.39,1457.22,6727.86,MP
109485,Polykrikos spp.,205250.55,3819.54,17044.11,NA
109515,Diplopsalis spp.,418.88,19.86,106.73,NA
109519,Gonyaulax spp. 20 µm,,,,NA
109540,Heterocapsa spp.,1178.1,47.79,248.95,PP
109543,Peridiniella cf. spp.,,,,NA
109545,Scrippsiella spp.,4712.39,155.05,774.81,PP
109549,Peridinium cf. spp.,226194.48,4147.99,18455.86,NA
109553,Protoperidinium conicum/marie-lebouriae,91420.27,1922.24,8788.35,NA
109603,Dinophysis cf. acuminata,20508.3,540.39,2583.95,NA
109610,Dinophysis baltica,7330.38,225.62,1112.63,NA
109643,Dinophysis parva,7330.38,225.62,1112.63,NA
109667,Histioneis depressa,10471.97,305.41,1490.1,NA
109674,Histioneis inclinata,,,,NA
109686,Histioneis variabilis,,,,NA
109688,Histioneis vouckii,,,,NA
109728,Amphidinium flagellans,3239.13,112.78,569.97,NA
109730,Amphidinium globosum,3239.13,112.78,569.97,NA
109735,Amphidinium klebsii,3239.13,112.78,569.97,NA
109834,Gymnodinium uberrimum,737.23,32.1,169.58,NA
109835,Gymnodinium variabile,737.23,32.1,169.58,NA
110024,Gonyaulax kofoidii,312.22,15.48,83.9,NA
110060,Heterodinium mediterraneum,65449.79,1447.4,6684.09,NA
110085,Oxytoxum constrictum,3534.29,121.45,612.17,NA
110092,Oxytoxum depressum,3534.29,121.45,612.17,NA
110096,Oxytoxum globosum,785.4,33.87,178.6,NA
110100,Oxytoxum longum,3534.29,121.45,612.17,NA
110115,Oxytoxum scolopax,5890.48,187.39,930.18,PP
110118,Oxytoxum subulatum,19634.94,520.79,2493.47,NA
110133,Diplopelta bomba,,,,NA
110196,Parvodinium umbonatum,9676.1,285.59,1396.7,NA
110312,Prorocentrum rotundatum,2047.27,76.4,391.44,NA
110313,Prorocentrum schillerii,2047.27,76.4,391.44,NA
110326,Dissodium asymmetricum,,,,NA
115057,Emiliana/Gephyrocapsa,65.45,,,NA
115083,Acanthoica spp.,412.33,,,NA
115086,Emiliania spp.,65.45,,,NA
115101,Acanthoica acanthifera,412.33,,,NA
143946,Chlorococcum spp.,,,,NA
146203,Unid dinoflagellate > 10 µm,6283.18,197.94,980.67,NA
146537,Cyanobacteral filament,523.6,8,0.2,PP
842517,Tripos trichoceros,40605.05,965.09,4521.06,MP
842520,Tripos uncinus,64926.19,1437.56,6640.27,NA
597655,Ceratium pulchellum f. semipulchellum,64926.19,1437.56,6640.27,NA
604761,Pseudo-eunotia spp.,,,,NA
609528,Pseudanabaena galeata,78.54,8,0.2,NA
614602,Dinophysis infundibula,7330.38,225.62,1112.63,NA
616530,Hemiselmis brunnescens,12.96,,,NA
622600,Peranemopsis trichophora,,,,NA
624358,Phalacroma oxytoxoides,30237.8,751.4,3551.27,NA
624457,Prorocentrum fukuyoi,2474,89.72,457.1,NA
626393,Cymbella lanceolata,977160.15,5152.69,20761.31,NA
626695,Pleurosigma spenceri,6000,75.2,333.79,NA
632559,Cerataulina chapmanii,41547.53,374.76,1603.37,NA
645913,Glaphyrocysta ordinata,,,,NA
666557,Protoperidinium curtum,77207.72,1665.35,7652.58,NA
699554,Odontella turgida,53014.33,458.78,1953.78,NA
707765,Urgorri complanatus,,,,NA
747091,Nodularia spp.,5026.54,8,0.2,NA
837312,Tripos schoeteri,60000,1344.41,6224.71,NA
841184,Tripos belone,20943.93,550.12,2628.82,NA
841206,Tripos digitatus,60000,1344.41,6224.71,NA
841246,Tripos gravidus,111395.55,2273.38,10332.33,NA
841256,Tripos contortus var. karstenii,,,,NA
841258,Tripos limulus,64926.19,1437.56,6640.27,NA
841741,Tripos paradoxides,64926.19,1437.56,6640.27,MP
841748,Tripos praelongus,111395.55,2273.38,10332.33,NA
,Unid heterotroph 40-50 µm,,,,NA
,Centric diatom < 10 µm,196.35,4.4,20.85,NA
,unid square cells,125,,,NA
,Gold balls,,,,NA
,Epiplocylis cf. acuminata,,,,NA
663569,Dinophysis brevisulca,,,,NA
,Unid heterotroph 10-20 µm,,,,NA
,faecal pellet,,,,NA
,Prorocentrum cf rostratum,,,,NA
109717,Actiniscus pentasterias,22449.28,583.52,2782.58,PZ
233447,Alexandrium margalefii,17404.6,470.12,2259.01,PP
109723,Amphidinium carterae,480.66,22.32,119.47,MP
109754,Amphidinium sphenoides,3694.51,126.11,634.81,PZ
109603,Dinophysis acuminata,20508.3,540.39,2583.95,MP
109637,Dinophysis norvegica,37701.83,906.18,4254.56,MP
109657,Dinophysis schuettii,7330.38,225.62,1112.63,PZ
110139,Diplopsalopsis orbicularis,69455.84,1522.27,7017.35,PZ
233509,Gonyaulax ceratocoroides,312.22,15.48,83.9,MP
110035,Gonyaulax polygramma,29321.51,732.02,3462.89,MP
249714,Gymnodinium albulum,785.4,33.87,178.6,PP
232785,Gymnodinium impudicum,8210.02,248.4,1220.85,MP
109819,Gymnodinium ostenfeldii,567.45,25.7,136.86,PP
109925,Pentapharsodinium dalei,1857.58,70.34,361.48,PP
110303,Prorocentrum micans,5039.63,164.14,818.61,MP
162749,Protoperidinium cerasus,37699.08,906.12,4254.3,PZ
163934,Protoperidinium curvipes,179594.23,3410.17,15278.44,PZ
110217,Protoperidinium depressum,451289.4,7456.15,32494.69,PZ
110241,Protoperidinium ovatum,65144.01,1441.66,6658.51,PZ
110244,Protoperidinium pallidum,91934.35,1931.41,8828.8,PZ
110260,Protoperidinium thorianum,62365.47,1389.28,6425,PZ
841248,Tripos hexacanthus,50232.72,1156.16,5381.73,MP
841746,Tripos pentagonus,37371.83,899.44,4224.03,PP
233144,Warnowia polyphemus,1308995.83,18414.61,77729.53,PZ
118051,Ebria tripartita,14137.16,,,PZ
134564,Micromonas pusilla,1.05,,,MP
101289,Strombidium conicum,,,,MP
115126,Chrysochromulina parkeae,1361.36,,,MP
699623,Haptolina hirta,179.59,,,MP
156607,Chaetoceros concavicornis,20204.35,206.01,893.53,PP
160520,Attheya decora,,,,PP
149228,Chaetoceros laciniosus,7184.91,87.34,386.32,PP
160523,Chaetoceros lauderi,23432.33,232.98,1007.66,PP
163089,Chaetoceros minimus,,,,PP
160524,Chaetoceros wighamii,1013.63,17.19,78.92,PP
148992,Coscinodiscus concinnus,20457248.68,64322.94,244618.66,PP
148908,Cyclotella choctawhatcheeana,268.78,5.71,26.89,PP
149194,Diploneis bombus,64916.24,542.77,2302.56,PP
149131,Eucampia zodiacus,37699.08,345.71,1481.82,PP
149132,Guinardia flaccida,196349.38,1360.12,5649.88,PP
149493,Gyrosigma balticum,73631.02,602.59,2550.23,PP
418547,Melosira moniliformis,38985.17,355.48,1522.69,PP
149320,Navicula transitans,5175,66.51,296.06,PP
149074,Skeletonema costatum,1008.36,17.11,78.58,PP
149080,Stephanodiscus hantzschii,1711.96,26.56,120.71,PP
149083,Stephanodiscus parvus,351.86,7.14,33.46,PP
149147,Trachyneis aspera,41457.21,374.09,1600.54,PP
248135,Monoraphidium mirabile,,,,PP
105562,Calliacantha simplex,50.27,,,PZ
418253,Amphora mexicana,195700.11,1356.39,5634.73,NA
418293,Mastogloia baldjikiana,2375.83,34.86,157.46,NA
418509,Chaetoceros messanense,1570.8,24.73,112.58,PP
418516,Chaetoceros vanheurckii,3534.29,48.47,217.3,NA
418531,Ehrenbergiulva granulosa,,,,NA
418540,Hemiaulus membranaceus,93517.28,734.86,3095.89,PP
418569,Rhizosolenia formosa,3183477.87,13733.18,54106.06,PP
418577,Planktoniella blanda,84822.93,677.69,2860.33,PP
418587,Auliscus punctatus,19634.94,201.18,873.05,NA
418600,Triceratium dubium,20341.69,207.17,898.45,NA
422692,Tripos carriensis var.carriensis,,,,NA
427448,Codonellopsis cf. ostenfeldi,79586.95,1774.56,8796.57,NA
450716,Cyclophora spp.,,,,NA
464442,Asteromphalus elegans,223278.69,1513.23,6270.58,NA
465383,Cerataulina bicornis,41547.53,374.76,1603.37,NA
465524,Chaetoceros gracilis,1802.49,27.72,125.86,NA
478556,Pseudo-nitzschia americana,126,3.05,14.55,NA
494057,Tripos cf. pentagonus,37371.83,899.44,4224.03,NA
494057,Tripos fusus type,282743.1,5013.19,22156.63,MP
494057,Tripos fusus/extensus,5654862,63780.56,257660.13,NA
494057,Tripos gametes,5106.13,165.98,827.45,MP
494057,Tripos gravidus type,111395.55,2273.38,10332.33,NA
494057,Tripos lineatus/pentagonus complex,17540.54,473.23,2273.45,NA
494057,Tripos macroceros type,,,,NA
494057,Tripos muelleri type,64926.19,1437.56,6640.27,NA
555894,Reticulofenestra spp.,523.6,,,NA
562626,Ellobiopsidae,,,,NA
572070,Planktosphaeria spp.,268.08,,,NA
573422,Coscinodiscus gracilis,678583.44,3807.09,15446.24,NA
573471,Fragilariopsis antarctica,1401.93,22.5,102.66,NA
573564,Selenastrum obesum,226.19,,,NA
573979,Chrysolepidomonas spp.,,,,NA
574074,Halamphora granulata,,,,NA
577628,Extubocellulus spinifer,5.23,0.22,1.1,NA
577634,Chaetoceros saltans,261.34,5.58,26.29,NA
577735,Thalassiosira complicata,7068.58,86.16,381.24,NA
577745,Thalassiosira inura,7068.58,86.16,381.24,NA
577830,Dimorphococcus spp.,,,,NA
582421,Actinopoda,523.6,,,PZ
590713,Tabularia gaillonii,,,,NA
146541,Spirulina spp.,,,,NA
146585,Anabaena cf. spp.,113.1,8,0.2,NA
146585,Anabaena spp.,113.1,8,0.2,NA
146678,Planktolyngbya subtilis,,,,NA
148917,Coscinodiscus spp. > 80 µm,381703.19,2361.54,9686.62,NA
148920,Coscinodiscus eccentricus,74661.85,609.59,2579.14,NA
148963,Odontella spp. <25 µm cell length,7068.58,86.16,381.24,PP
148985,Chaetoceros spp. 40-50 µm,21205.73,214.45,929.28,PP
149011,Cymatosira spp.,173.94,3.98,18.9,NA
149031,Navicula spp.,2062.5,31,140.4,NA
149071,Rhizosolenia hebetata f. semispina,99843.66,775.89,3264.69,NA
149073,Skeletonema japonica/pseudocostatum,410.5,8.12,37.91,NA
149111,Guinardia delicatula/Dactyliosolen fragillissimus,7963.93,95.13,419.96,NA
149138,Asterionellopsis spp.,3810.78,51.59,230.99,PP
149142,Navicula - shaped,2062.5,31,140.4,NA
149148,Bacillaria spp.,2138.24,31.94,144.57,PP
149151,Pseudo-nitzschia subpacifica/heimii,983.13,16.76,76.98,NA
149158,Coscinodiscus cf. radiatus,169645.86,1204.71,5018.25,NA
149179,Delphineis spp.,1346.96,21.76,99.38,NA
149182,Pleurosigma normanii,48437.5,425.66,1815.83,NA
149195,Diploneis cf. didyma,14617.82,157.48,687.25,NA
149202,Amphora proteus,1988343.73,9292.03,36937.63,NA
149211,Haslea ostrearia,29083.27,278.73,1200.62,NA
149230,Leptocylindrus mediterraneus (with flagellates),9424.77,109.4,481.42,PP
149279,Aulacodiscus spp.,,,,NA
248181,Proboscia truncata,66366.09,552.81,2344.18,NA
254444,Asteromphalus roperianus,78539.75,635.75,2687.26,NA
291401,Synedropsis spp.,442.81,8.64,40.32,NA
341494,Azpeitia tabularis,8011.19,95.59,421.98,NA
341513,Thalassiosira frenguelliopsis,4985.7,64.49,287.24,NA
341554,Fragilariopsis curta,460.73,8.93,41.63,NA
341585,Phaeocystis antarctica,113.1,,9,NA
341660,Codonellopsis pusilla,2356.19,48.45,322.8,PZ
345291,Chaetoceros atlanticus f. audax,8835.72,103.69,456.87,NA
345847,Actinocyclus curvatulus,79620.9,643.01,2717.22,NA
345868,Phaeodaria,,,,NA
370366,Chaetoceros (Hyalochaete),3141.59,43.95,197.51,PP
375971,Pelagococcus subviridis,14.14,,,NA
391870,Parundella caudata,,,,NA
396102,Togula jolla,14137.16,394.04,1905.29,NA
411767,Pseudo-nitzschia subcurvata,160,3.71,17.66,NA
417136,Codonella cf. galea,28274.31,615.61,3328.74,PZ
418205,Nitzschia marina,32300,304.09,1307.24,NA
149313,Fragilariopsis spp.,1401.93,22.5,102.66,PP
149322,Lithodesmium cf. undulatum,67283.13,559.15,2370.41,NA
149333,Tabellaria spp.,1900,28.96,131.36,NA
149335,Grammatophora spp.,4000,53.71,240.25,PP
149342,Licmophora spp.,12182.87,135.37,592.84,NA
149362,Fragilariopsis oceanica,459,8.91,41.51,NA
149395,Diploneis coffaeiformis,118875.8,896.79,3760.91,NA
149397,Diploneis smithii,21598.43,217.74,943.21,NA
149458,Navicula menisculus,14962.5,160.55,700.36,NA
149467,Navicula directa,3591,49.11,220.13,NA
149493,Gyrosigma cf. balticum,70312.5,579.96,2456.61,NA
149529,Amphora ostrearia,195700.11,1356.39,5634.73,NA
149538,Cymbella spp.,83775.73,670.73,2831.66,PP
149629,Rhizosolenia styliformis group,1900661.95,8950.63,35611.01,PP
150203,Codonella spp.,28274.31,615.61,3328.74,PZ
157052,Mastogloia spp.,10602.87,120.63,529.68,PP
157064,Licmophora flabellata,12182.87,135.37,592.84,NA
157453,Urosolenia spp.,,,,NA
160563,Prymnesium spp.,326.73,,,NA
160584,Heterosigma cf. spp.,1570.8,,,PP
160584,Heterosigma spp.,1570.8,,,PP
160654,Berkeleya micans,,,,NA
160677,Amphora angusta,195700.11,1356.39,5634.73,NA
162258,Asteromphalus cf heptactis,111484.96,850.26,3570.14,NA
162518,Corymbellus cf. spp.,523.6,,,NA
162799,Protoperidinium globulum,77207.72,1665.35,7652.58,NA
162934,Tetrastrum spp.,33.51,,,NA
163026,Chaetoceros cf. coronatus,3534.29,48.47,217.3,NA
163096,Imantonia rotunda,65.45,,,NA
163108,Kirchneriella spp.,359.19,,,NA
163241,Guinardia cylindrus,70685.78,582.52,2467.18,PP
163260,Isthmia nervosa,,,,NA
163558,Cyclidium spp.,,,,NA
163909,Craticula halophila,2516.32,36.56,164.97,NA
163913,Codoniella campanulata,79586.95,1774.56,8796.57,NA
172543,Synedra closterioides,240,5.2,24.53,NA
175467,Opephora mutabilis,3926.99,52.9,236.69,NA
175584,Phaeodactylum tricornuim,183.75,4.17,19.76,NA
178086,Campyloneis grevillei,62203.48,523.88,2224.21,NA
178185,Chaetoceros peruvianus > 40 µm cell width,62831.8,528.26,2242.42,NA
178582,Eutreptia spp.,4105.01,,,NA
178583,Chlamydomonas spp.,268.08,,,NA
178594,Synura spp.,85.08,,,NA
178598,Coccolithus spp.,4188.79,,,NA
178609,Lagerheimia spp.,,,,NA
179183,Entomoneis robusta,30799.36,292.32,1257.77,NA
179528,Campylodiscus biangulatus,32311.25,304.18,1307.61,NA
179888,Diploneis constricta,27708.82,267.75,1154.4,NA
183542,Dadayiella ganymedes,2617.99,53.96,356.36,PZ
183546,Steenstrupiella cf. steenstrupii,8906.41,188.83,1125.11,NA
183548,Climacocylis scalaria,113097.24,2542.2,12235.29,NA
183574,Xystonella spp.,160351.99,3633.45,16981.95,PZ
196811,Rhizosolenia bergonii,1570795,7640.85,30510.23,PP
