SAMPLE,TAXON_NAME,TAXON_GROUP,GENUS,SPECIES,SPCODE,CELL_COUNT,SAMPVOL_L
1,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,6,0.04
1,Tripos furca type,Dinoflagellate,Tripos (Ceratium),furca type,494057,1,0.04
1,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,296,0.04
2,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,109473,3,0.04
2,Chrysophyceae,Flagellate,(null),(null),146230,1,0.04
2,Corethron pennatum,Centric diatom,Corethron,pennatum,341496,2,0.04
2,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,276,0.04
2,Cyanobacteria cluster,Cyanobacteria,(null),(null),146537,18,0.04
2,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,39,0.04
2,Dinophysis acuminata,Dinoflagellate,Dinophysis,acuminata,109603,1,0.04
2,Dinophysis tripos,Dinoflagellate,Dinophysis,tripos,109662,1,0.04
2,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,3,0.04
2,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,4224,0.04
2,Flagellate <10 µm round,Flagellate,(null),(null),146222,15245,0.04
2,Guinardia striata,Centric diatom,Guinardia,striata,149113,1,0.04
2,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,9,0.04
2,Gyrodinium spp. 20-40 µm,Dinoflagellate,Gyrodinium,spp.,109476,3,0.04
2,Gyrodinium spp. 40-60 µm,Dinoflagellate,Gyrodinium,spp.,109476,2,0.04
2,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,2,0.04
2,Prasinophytes,Flagellate,(null),(null),17329,92,0.04
2,Prymnesiophytes,Flagellate,(null),(null),115057,138,0.04
2,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,62,0.04
2,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,2,0.04
2,Rhizosolenia imbricata,Centric diatom,Rhizosolenia,imbricata,149116,1,0.04
2,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,2,0.04
2,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,3,0.04
2,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,1,0.04
2,Thalassiothrix spp.,Pennate diatom,Thalassiothrix,spp.,157081,2,0.04
2,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,840627,1,0.04
2,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,184,0.04
3,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,45,0.04
3,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,9,0.04
3,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,101,0.04
3,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,84,0.04
3,Chrysophyceae,Flagellate,(null),(null),146230,1,0.04
3,Climacodium spp.,Centric diatom,Climacodium,spp.,196803,12,0.04
3,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,148917,2,0.04
3,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,245,0.04
3,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,89,0.04
3,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,58,0.04
3,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,560,0.04
3,Flagellate <10 µm round,Flagellate,(null),(null),146222,2168,0.04
3,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,9,0.04
3,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,7,0.04
3,Guinardia striata,Centric diatom,Guinardia,striata,149113,38,0.04
3,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,7,0.04
3,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,5,0.04
3,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,54,0.04
3,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,149135,19,0.04
3,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,201,0.04
3,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,16,0.04
3,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,2,0.04
3,Meuniera membranacea,Pennate diatom,Meuniera,meuniera,149145,2,0.04
3,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,2,0.04
3,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,2,0.04
3,Prasinophytes,Flagellate,(null),(null),17329,105,0.04
3,Proboscia alata,Centric diatom,Proboscia,alata,149168,105,0.04
3,Prymnesiophytes,Flagellate,(null),(null),115057,140,0.04
3,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,135,0.04
3,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,23,0.04
3,Rhizosolenia imbricata,Centric diatom,Rhizosolenia,imbricata,149116,3,0.04
3,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,33,0.04
3,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,3,0.04
3,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,3,0.04
3,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,14,0.04
3,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,841260,2,0.04
3,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,70,0.04
4,Amphidinium spp. <30 µm cell height,Dinoflagellate,Amphidinium,spp.,109473,2,0.04
4,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,122,0.04
4,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,8,0.04
4,Chrysophyceae,Flagellate,(null),(null),146230,2,0.04
4,Climacodium spp.,Centric diatom,Climacodium,spp.,196803,2,0.04
4,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,246,0.04
4,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,22,0.04
4,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,55,0.04
4,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,3350,0.04
4,Flagellate <10 µm round,Flagellate,(null),(null),146222,8571,0.04
4,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,2,0.04
4,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,33,0.04
4,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,132,0.04
4,Navicula cf. 100-120 µm length,Pennate diatom,(null),(null),149031,2,0.04
4,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,6,0.04
4,Prasinophytes,Flagellate,(null),(null),17329,345,0.04
4,Prymnesiophytes,Flagellate,(null),(null),115057,936,0.04
4,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,142,0.04
4,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,35,0.04
4,Raphidophytes,Flagellate,(null),(null),160581,4,0.04
4,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,35,0.04
4,Tripos macroceros,Dinoflagellate,Tripos (Tripoceratium),macroceros,841260,0,0.04
4,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,99,0.04
5,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,17,0.04
5,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,294,0.04
5,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,160,0.04
5,Chrysophyceae,Flagellate,(null),(null),146230,4,0.04
5,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,148917,4,0.04
5,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,336,0.04
5,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,88,0.04
5,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,105,0.04
5,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,2772,0.04
5,Flagellate <10 µm round,Flagellate,(null),(null),146222,5964,0.04
5,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,25,0.04
5,Guinardia striata,Centric diatom,Guinardia,striata,149113,42,0.04
5,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,29,0.04
5,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,231,0.04
5,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,13,0.04
5,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,67,0.04
5,Navicula septentrionalis,Pennate diatom,Navicula,septentrionalis,549210,42,0.04
5,Prasinophytes,Flagellate,(null),(null),17329,126,0.04
5,Proboscia alata,Centric diatom,Proboscia,alata,149168,42,0.04
5,Prymnesiophytes,Flagellate,(null),(null),115057,168,0.04
5,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,802,0.04
5,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,8,0.04
5,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,42,0.04
5,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,8,0.04
5,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,50,0.04
5,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,8,0.04
5,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,8,0.04
5,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,3,0.04
5,Tripos spp.,Dinoflagellate,Tripos,spp.,494057,0,0.04
5,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,84,0.04
6,Actinocyclus spp.,Centric diatom,Actinocyclus,spp.,148944,2,0.04
6,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,20,0.04
6,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,3,0.04
6,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,45,0.04
6,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,223,0.04
6,Chrysophyceae,Flagellate,(null),(null),146230,3,0.04
6,Climacodium spp.,Centric diatom,Climacodium,spp.,196803,2,0.04
6,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,233,0.04
6,Cyanobacteria cluster,Cyanobacteria,(null),(null),146537,83,0.04
6,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,52,0.04
6,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,7,0.04
6,Entomoneis spp.,Pennate diatom,Entomoneis,spp.,156598,3,0.04
6,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,2,0.04
6,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,1933,0.04
6,Flagellate <10 µm round,Flagellate,(null),(null),146222,6333,0.04
6,Fragilariopsis spp.,Pennate diatom,Fragilariopsis,spp.,149313,3,0.04
6,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,3,0.04
6,Guinardia striata,Centric diatom,Guinardia,striata,149113,2,0.04
6,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,2,0.04
6,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,7,0.04
6,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,13,0.04
6,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,43,0.04
6,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,3,0.04
6,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,38,0.04
6,Licmophora spp. < 150 µm,Pennate diatom,Licmophora,spp.,149342,3,0.04
6,Lithodesmium spp.,Centric diatom,Lithodesmium,spp.,149321,0,0.04
6,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),149031,2,0.04
6,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,2,0.04
6,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,13,0.04
6,Planktoniella spp.,Centric diatom,Planktoniella,spp.,148979,0,0.04
6,Prasinophytes,Flagellate,(null),(null),17329,67,0.04
6,Proboscia alata,Centric diatom,Proboscia,alata,149168,3,0.04
6,Prymnesiophytes,Flagellate,(null),(null),115057,433,0.04
6,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,335,0.04
6,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,12,0.04
6,Pseudosolenia spp. ~30 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,0,0.04
6,Rhizosolenia fallax,Centric diatom,Rhizosolenia,fallax,573572,1,0.04
6,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,10,0.04
6,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,47,0.04
6,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,25,0.04
6,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,5,0.04
6,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,495363,2,0.04
6,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,367,0.04
7,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,13,0.04
7,Chrysophyceae,Flagellate,(null),(null),146230,2,0.04
7,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,683,0.04
7,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,7,0.04
7,Eutreptiella spp.,Flagellate,Eutreptiella,spp.,17657,9,0.04
7,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,3826,0.04
7,Flagellate <10 µm round,Flagellate,(null),(null),146222,10110,0.04
7,Gonyaulax spp.,Dinoflagellate,Gonyaulax,spp.,109519,2,0.04
7,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,2,0.04
7,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,20,0.04
7,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,2,0.04
7,Leptocylindrus minimus,Centric diatom,Leptocylindrus,minimus,149039,4,0.04
7,Mesodinium rubrum,Ciliate,Mesodinium,rubrum,232069,4,0.04
7,Navicula cf. 20-40 µm length,Pennate diatom,(null),(null),149031,5,0.04
7,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,4,0.04
7,Prasinophytes,Flagellate,(null),(null),17329,774,0.04
7,Prymnesiophytes,Flagellate,(null),(null),115057,228,0.04
7,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,1907,0.04
7,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,5,0.04
7,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,2,0.04
7,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,2,0.04
7,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,4,0.04
7,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,2,0.04
7,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,319,0.04
8,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,3,0.04
8,Cerataulina spp. ~150 µm length,Centric diatom,Cerataulina,spp.,149236,16,0.04
8,Chaetoceros didymus,Centric diatom,Chaetoceros (Hyalochaete),didymus,149122,3,0.04
8,Chaetoceros eibenii,Centric diatom,Chaetoceros (Phaeoceros),eibenii,160521,3,0.04
8,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,56,0.04
8,Chrysophyceae,Flagellate,(null),(null),146230,2,0.04
8,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,148917,3,0.04
8,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,192,0.04
8,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,13,0.04
8,Dactyliosolen fragilissimus,Centric diatom,Dactyliosolen,fragilissimus,149310,26,0.04
8,Eucampia spp. <100 µm cell length,Centric diatom,Eucampia,spp.,149130,26,0.04
8,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,1598,0.04
8,Flagellate <10 µm round,Flagellate,(null),(null),146222,9143,0.04
8,Guinardia delicatula,Centric diatom,Guinardia,delicatula,149112,102,0.04
8,Guinardia flaccida <150 µm length,Centric diatom,Guinardia,flaccida,149132,3,0.04
8,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,10,0.04
8,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,14,0.04
8,Lauderia annulata < 70 µm length,Centric diatom,Lauderia,annulata,149135,11,0.04
8,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,168,0.04
8,Navicula cf. 60-80 µm length,Pennate diatom,(null),(null),149031,14,0.04
8,Navicula cf. 80-100 µm length,Pennate diatom,(null),(null),149031,3,0.04
8,Noctiluca scintillans,Dinoflagellate,Noctiluca,scintillans,109921,0,0.04
8,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,19,0.04
8,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,3,0.04
8,Prasinophytes,Flagellate,(null),(null),17329,160,0.04
8,Proboscia alata,Centric diatom,Proboscia,alata,149168,315,0.04
8,Protoperidinium pellucidum,Dinoflagellate,Protoperidinium,pellucidum,110245,3,0.04
8,Prymnesiophytes,Flagellate,(null),(null),115057,64,0.04
8,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,224,0.04
8,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,45,0.04
8,Pseudosolenia spp. ~60 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,2,0.04
8,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,11,0.04
8,Skeletonema spp.,Centric diatom,Skeletonema,spp.,149073,42,0.04
8,Stephanopyxis spp.,Centric diatom,Stephanopyxis,spp.,149630,6,0.04
8,Thalassionema spp. > 100 µm length,Pennate diatom,Thalassionema,spp.,149092,3,0.04
8,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,16,0.04
8,Trichodesmium spp.,Cyanobacteria,Trichodesmium,spp.,177604,2,0.04
8,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,543,0.04
9,Bacteriastrum spp.,Centric diatom,Bacteriastrum,spp.,149118,3,0.04
9,Cerataulina pelagica,Centric diatom,Cerataulina,pelagica,149619,1,0.04
9,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,4,0.04
9,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,5,0.04
9,Chrysophyceae,Flagellate,(null),(null),146230,1,0.04
9,Climacodium spp.,Centric diatom,Climacodium,spp.,196803,3,0.04
9,Coscinodiscus spp.,Centric diatom,Coscinodiscus,spp.,148917,3,0.04
9,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,329,0.04
9,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,9,0.04
9,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,2558,0.04
9,Flagellate <10 µm round,Flagellate,(null),(null),146222,5994,0.04
9,Gonyaulax spp.,Dinoflagellate,Gonyaulax,spp.,109519,1,0.04
9,Guinardia striata,Centric diatom,Guinardia,striata,149113,4,0.04
9,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,2,0.04
9,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,6,0.04
9,Leptocylindrus mediterraneus,Centric diatom,Leptocylindrus,mediterraneus,149230,4,0.04
9,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,3,0.04
9,Oxytoxum spp.,Dinoflagellate,Oxytoxum,spp.,109528,3,0.04
9,Pleurosigma spp. < 150 µm,Pennate diatom,Pleurosigma,spp.,149181,3,0.04
9,Prasinophytes,Flagellate,(null),(null),17329,256,0.04
9,Proboscia alata,Centric diatom,Proboscia,alata,149168,1,0.04
9,Prymnesiophytes,Flagellate,(null),(null),115057,292,0.04
9,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,13,0.04
9,Pseudo-nitzschia seriata complex >3 µm,Pennate diatom,Pseudo-nitzschia,seriata complex,149152,2,0.04
9,Pseudosolenia spp. ~60 µm cell width,Centric diatom,Pseudosolenia,spp.,163342,2,0.04
9,Rhizosolenia spp.,Centric diatom,Rhizosolenia,spp.,149069,9,0.04
9,Thalassionema spp. < 100 µm length,Pennate diatom,Thalassionema,spp.,149092,4,0.04
9,Tripos spp.,Dinoflagellate,Tripos,spp.,494057,2,0.04
9,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,146,0.04
10,Chaetoceros danicus,Centric diatom,Chaetoceros (Phaeoceros),danicus,149120,2,0.04
10,Chrysophyceae,Flagellate,(null),(null),146230,1,0.04
10,Climacodium spp.,Centric diatom,Climacodium,spp.,196803,4,0.04
10,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,217,0.04
10,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,2,0.04
10,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,2341,0.04
10,Flagellate <10 µm round,Flagellate,(null),(null),146222,7890,0.04
10,Guinardia striata,Centric diatom,Guinardia,striata,149113,17,0.04
10,Gymnodinioid dinoflagellate 10-20 µm,Dinoflagellate,(null),(null),109392,5,0.04
10,Gymnodinium spp.,Dinoflagellate,Gymnodinium,spp.,109475,1,0.04
10,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,4,0.04
10,Hemiaulus spp.,Centric diatom,Hemiaulus,spp.,163248,9,0.04
10,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,7,0.04
10,Navicula cf. 40-60 µm length,Pennate diatom,(null),(null),149031,1,0.04
10,Phaeocystis spp. (colony),Flagellate,Phaeocystis,spp.,115088,87,0.04
10,Podolampas spp.,Dinoflagellate,Podolampas,spp.,109550,1,0.04
10,Prasinophytes,Flagellate,(null),(null),17329,260,0.04
10,Prorocentrum spp.,Dinoflagellate,Prorocentrum,spp.,109566,4,0.04
10,Protoperidinium spp.,Dinoflagellate,Protoperidinium,spp.,109553,1,0.04
10,Prymnesiophytes,Flagellate,(null),(null),115057,87,0.04
10,Pseudo-nitzschia delicatissima complex <=3 µm,Pennate diatom,Pseudo-nitzschia,delicatissima complex,149153,3,0.04
10,Pyrocystis noctiluca,Dinoflagellate,Pyrocystis,noctiluca,110332,9,0.04
10,Pyrophacus spp.,Dinoflagellate,Pyrophacus,spp.,109555,2,0.04
10,Rhizosolenia setigera,Centric diatom,Rhizosolenia,setigera,149115,4,0.04
10,Scrippsiella spp.,Dinoflagellate,Scrippsiella,spp.,109545,12,0.04
10,Thalassiosira spp. 10-20 µm,Centric diatom,Thalassiosira,spp.,148912,1,0.04
10,Thalassiosira spp. 20-40 µm,Centric diatom,Thalassiosira,spp.,148912,3,0.04
10,Tripos furca,Dinoflagellate,Tripos (Ceratium),furca,840627,1,0.04
10,Tripos lineatus,Dinoflagellate,Tripos (Ceratium),lineatus,837459,1,0.04
10,Tripos muelleri,Dinoflagellate,Tripos (Tripoceratium),muelleri,495363,1,0.04
10,Unid dinoflagellate < 10 µm,Dinoflagellate,(null),(null),146203,173,0.04
11,Chaetoceros spp. 20-30 µm,Centric diatom,Chaetoceros,spp.,148985,9,0.04
11,Chaetoceros spp. < 10 µm cell width,Centric diatom,Chaetoceros,spp.,148985,9,0.04
11,Chrysophyceae,Flagellate,(null),(null),146230,4,0.04
11,Cryptophyta < 10 µm length,Flagellate,(null),(null),17638,946,0.04
11,Cyanobacteria cluster,Cyanobacteria,(null),(null),146537,18,0.04
11,Cylindrotheca closterium,Pennate diatom,Cylindrotheca,closterium,149004,18,0.04
11,Dinophysis spp.,Dinoflagellate,Dinophysis,spp.,109462,1,0.04
11,Flagellate <10 µm fusiform,Flagellate,(null),(null),146222,1537,0.04
11,Flagellate <10 µm round,Flagellate,(null),(null),146222,6621,0.04
11,Gyrodinium spp.,Dinoflagellate,Gyrodinium,spp.,109476,9,0.04
11,Leptocylindrus danicus,Centric diatom,Leptocylindrus,danicus,149106,67,0.04
