SAMPLE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,COUNTS,SAMPVOL_L
39,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,1.13112
39,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,104880,2,1.13112
39,Fish egg,NON-COPEPOD,Fish,(null),(null),11676,2,1.13112
39,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,81,1.13112
39,Polychaete,NON-COPEPOD,Polychaete,(null),(null),883,7,1.13112
284,Microsetella norvegica f,COPEPOD,Copepod,Microsetella,norvegica,116115,2,0.622116
284,Corycaeus spp. f,COPEPOD,Copepod,Corycaeus,spp.,128634,1,0.622116
884,Corycaeus crassiusculus f,COPEPOD,Copepod,Corycaeus,crassiusculus,128799,1,0.56556
884,Globigerinidae,NON-COPEPOD,Foraminifera,(null),(null),111929,4,0.56556
884,Pseudevadne tergestina,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,2,1.018008
884,Candacia bipinnata m,COPEPOD,Copepod,Candacia,bipinnata,104475,1,0.452448
884,Corycaeidae j,COPEPOD,Copepod,(null),(null),128569,1,0.452448
286,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,6,1.866348
286,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,10,1.866348
286,Corycaeidae j,COPEPOD,Copepod,(null),(null),128569,3,1.866348
286,Harpacticoid j,COPEPOD,Copepod,(null),(null),1102,17,1.866348
286,Microsetella rosea m,COPEPOD,Copepod,Microsetella,rosea,116116,1,0.622116
286,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,34,1.866348
286,Polychaete,NON-COPEPOD,Polychaete,(null),(null),883,11,1.866348
286,Nauplii copepod,COPEPOD,Copepod,(null),(null),1080,25,1.866348
286,Pleuromamma quadrungulata f,COPEPOD,Copepod,Pleuromamma,quadrungulata,104641,1,0.622116
286,Copepod damaged / unidentified,COPEPOD,Copepod,(null),(null),1080,6,0.622116
287,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,56,1.244232
287,Subeucalanus crassus f,COPEPOD,Copepod,Subeucalanus,crassus,104544,1,0.622116
287,Gastropod,NON-COPEPOD,Mollusc,(null),(null),101,44,1.244232
287,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),1130,2,0.622116
287,Sapphirina opalina m,COPEPOD,Copepod,Sapphirina,opalina,129054,1,0.622116
288,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,5,1.244232
288,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,26,1.244232
288,Oncaea clevei complex m,COPEPOD,Copepod,Oncaea,clevei complex,354022,13,1.244232
288,Gastropod,NON-COPEPOD,Mollusc,(null),(null),101,46,1.244232
288,Ostracod,NON-COPEPOD,Ostracod,(null),(null),1078,7,1.244232
904,Acartia (Acanthacartia) fossae f,COPEPOD,Copepod,Acartia (Acanthacartia),fossae,345933,4,0.509004
904,Oithona nana f,COPEPOD,Copepod,Oithona,nana,106651,2,0.509004
904,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,3,0.509004
904,Foraminifera,NON-COPEPOD,Foraminifera,(null),(null),1410,2,0.509004
289,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,11,1.244232
289,Harpacticoid j,COPEPOD,Copepod,(null),(null),1102,7,1.244232
289,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,43,1.244232
289,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,21,1.244232
289,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,16,1.244232
289,Egg,NON-COPEPOD,Egg,(null),(null),(null),6,1.244232
289,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),103354,16,1.244232
289,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),1130,4,1.244232
910,Microsetella spp. j,COPEPOD,Copepod,Microsetella,spp.,115341,25,0.56556
910,Oithona setigera f,COPEPOD,Copepod,Oithona,setigera,106655,2,0.56556
290,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),1130,4,1.244232
290,Rhincalanidae j,COPEPOD,Copepod,(null),(null),345271,1,0.622116
910,Oithona similis f,COPEPOD,Copepod,Oithona,similis,106656,13,0.56556
910,Oithona spp. small m,COPEPOD,Copepod,Oithona,spp.,106485,1,0.56556
910,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,8,0.56556
910,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,6,0.56556
910,Fritillaria pellucida,NON-COPEPOD,Appendicularian,Fritillaria,pellucida,103386,1,0.56556
291,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,30,2.488464
291,Decapod larvae,NON-COPEPOD,Decapod,(null),(null),1130,1,0.622116
910,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,9,0.56556
910,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),102,1,0.56556
292,Acartia (Acartia) negligens f,COPEPOD,Copepod,Acartia (Acartia),negligens,346030,4,1.244232
292,Nannocalanus minor f,COPEPOD,Copepod,Nannocalanus,minor,104469,2,0.622116
292,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,11,1.866348
292,Pentacrinoid larvae,NON-COPEPOD,Echinoderm,(null),(null),1806,1,0.622116
292,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,128938,1,0.622116
899,Calocalanus spp. j,COPEPOD,Copepod,Calocalanus,spp.,104193,1,0.622116
899,Canthocalanus pauper m,COPEPOD,Copepod,Canthocalanus,pauper,220834,2,0.622116
899,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,2,0.622116
899,Delibus nudus f,COPEPOD,Copepod,Delibus,nudus,363905,1,0.622116
899,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,22,0.622116
899,Oithona simplex f,COPEPOD,Copepod,Oithona,simplex,106657,13,0.622116
899,Oncaea venusta typica m,COPEPOD,Copepod,Oncaea,venusta typica,363803,1,0.622116
293,Farranula spp. f,COPEPOD,Copepod,Farranula,spp.,128636,3,0.622116
50,Corycaeidae j,COPEPOD,Copepod,(null),(null),128569,10,1.018008
50,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,20,1.018008
135,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,30,1.527012
899,Paracalanus denudatus f,COPEPOD,Copepod,Paracalanus,denudatus,104682,1,0.622116
899,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,2,0.622116
899,Polychaete larvae,NON-COPEPOD,Polychaete,(null),(null),883,1,0.622116
136,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,2,2.26224
135,Nauplii harpacticoid,COPEPOD,Copepod,(null),(null),1102,5,1.527012
135,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,9,1.527012
135,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,5,1.527012
50,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,2,0.509004
104,Clausocalanus furcatus f,COPEPOD,Copepod,Clausocalanus,furcatus,104503,7,1.781514
104,Nauplii calanoid,COPEPOD,Copepod,(null),(null),1100,87,1.781514
104,Nauplii harpacticoid,COPEPOD,Copepod,(null),(null),1102,1,0.509004
104,Oncaea media complex f,COPEPOD,Copepod,Oncaea,media complex,128938,12,1.781514
104,Paracalanus indicus f,COPEPOD,Copepod,Paracalanus,indicus,104683,9,1.781514
104,Tisbidae spp. f,COPEPOD,Copepod,Tisbidae,spp.,115183,1,0.509004
104,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1806,3,1.781514
137,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,3,1.866348
37,Clausocalanus arcuicornis f,COPEPOD,Copepod,Clausocalanus,arcuicornis,104502,9,2.714688
37,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,128938,3,1.809792
20,Acartia spp. j,COPEPOD,Copepod,Acartia,spp.,104108,6,1.13112
138,Farranula curta f,COPEPOD,Copepod,Farranula,curta,128812,2,1.018008
138,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,4,0.509004
20,Centropages furcatus m,COPEPOD,Copepod,Centropages,furcatus,104495,2,0.56556
48,Medusa,NON-COPEPOD,Cnidarian,(null),(null),135220,1,0.2940912
20,Bivalve,NON-COPEPOD,Mollusc,(null),(null),105,37,1.13112
20,Calycophoran,NON-COPEPOD,Cnidarian,(null),(null),135333,3,0.84834
16,Labidocera spp. j,COPEPOD,Copepod,Labidocera,spp.,104208,2,0.5881824
16,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,(null),(null),1103,4,0.5881824
16,Oithona spp. j,COPEPOD,Copepod,Oithona,spp.,106485,111,0.5881824
16,Brachyuran zoea,NON-COPEPOD,Decapod,(null),(null),106673,3,0.5881824
16,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,117034,1,0.2940912
12,Eucalanus spp. j,COPEPOD,Copepod,Eucalanus,spp.,104171,1,113.112
12,Microsetella rosea f,COPEPOD,Copepod,Microsetella,rosea,116116,5,113.112
12,Doliolum spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,10,113.112
12,Medusa,NON-COPEPOD,Cnidarian,(null),(null),135220,2,113.112
137,Temora turbinata m,COPEPOD,Copepod,Temora,turbinata,104880,1,0.622116
137,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,17,0.622116
48,Ditrichocorycaeus asiaticus m,COPEPOD,Copepod,Ditrichocorycaeus,asiaticus,358328,7,0.5881824
48,Onychocorycaeus agilis f,COPEPOD,Copepod,Onychocorycaeus,agilis,359743,3,0.5881824
48,Barnacle nauplii,NON-COPEPOD,Cirripedia,(null),(null),1082,1,0.2940912
83,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,2,2.26224
83,Oncaea spp. j,COPEPOD,Copepod,Oncaea,spp.,128690,17,2.26224
83,Subeucalanus subcrassus f,COPEPOD,Copepod,Subeucalanus,subcrassus,104548,3,1.13112
37,Obelia spp.,NON-COPEPOD,Cnidarian,Obelia,spp.,117034,1,0.904896
16,Acrocalanus gibber f,COPEPOD,Copepod,Acrocalanus,gibber,104645,3,0.2940912
136,Euterpina acutifrons f,COPEPOD,Copepod,Euterpina,acutifrons,116162,1,1.13112
136,Asteroidea larvae,NON-COPEPOD,Echinoderm,(null),(null),123080,1,1.13112
66,Nauplii harpacticoid,COPEPOD,Copepod,(null),(null),1102,321,0.622116
66,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,2,0.622116
66,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,3,0.622116
170,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,24,0.5881824
170,Parvocalanus crassirostris f,COPEPOD,Copepod,Parvocalanus,crassirostris,360051,8,0.5881824
83,Oncaea venusta complex m,COPEPOD,Copepod,Oncaea,venusta complex,128954,1,1.13112
152,Sapphirina spp. j,COPEPOD,Copepod,Sapphirina,spp.,128722,1,2.26224
38,Calanoid j,COPEPOD,Copepod,(null),(null),1100,80,1.244232
38,Harpacticoid j,COPEPOD,Copepod,(null),(null),1102,11,1.244232
38,Macrosetella gracilis f,COPEPOD,Copepod,Macrosetella,gracilis,116382,39,1.244232
38,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,7,1.244232
38,Brachyuran zoea,NON-COPEPOD,Decapod,(null),(null),106673,2,0.622116
38,Prosobranch,NON-COPEPOD,Mollusc,(null),(null),102,17,1.244232
122,Eucalanus spp. j,COPEPOD,Copepod,Eucalanus,spp.,104171,6,1.244232
122,Harpacticoid j,COPEPOD,Copepod,(null),(null),1102,4,0.622116
122,Oithona Grp3 (pointy head) f,COPEPOD,Copepod,Oithona,grp 3,106485,14,1.244232
122,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,4,1.244232
122,Sapphirina stellata m,COPEPOD,Copepod,Sapphirina,stellata,129060,1,0.622116
122,Fritillariidae,NON-COPEPOD,Appendicularian,(null),(null),103354,11,1.244232
122,Oikopleuridae,NON-COPEPOD,Appendicularian,(null),(null),103356,67,1.244232
20,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,2,0.28278
12,Subeucalanus subcrassus f,COPEPOD,Copepod,Subeucalanus,subcrassus,104548,2,1.13112
135,Harpacticoid j,COPEPOD,Copepod,(null),(null),1102,1,0.509004
135,Barnacle nauplii,NON-COPEPOD,Cirripedia,(null),(null),1082,1,0.509004
38,Candacia catula m,COPEPOD,Copepod,Candacia,catula,220913,1,0.622116
135,Anthomedusae,NON-COPEPOD,Cnidarian,(null),(null),151687,1,0.509004
135,Ostracod,NON-COPEPOD,Ostracod,(null),(null),1078,1,0.509004
151,Nannocalanus minor f,COPEPOD,Copepod,Nannocalanus,minor,104469,2,1.13112
151,Oncaea media complex m,COPEPOD,Copepod,Oncaea,media complex,128938,1,1.13112
151,Paracalanus aculeatus f,COPEPOD,Copepod,Paracalanus,aculeatus,104681,1,1.13112
38,Nauplii poecilostomatoida / cyclopoid,COPEPOD,Copepod,(null),(null),1103,3,0.622116
38,Anthomedusae,NON-COPEPOD,Cnidarian,(null),(null),151687,2,0.622116
864,Oithona setigera f,COPEPOD,Copepod,Oithona,setigera,106655,1,0.509004
170,Harpacticoid j,COPEPOD,Copepod,(null),(null),1102,7,0.2940912
48,Acrocalanus gibber f,COPEPOD,Copepod,Acrocalanus,gibber,104645,3,0.2940912
170,Asteroidea larvae,NON-COPEPOD,Echinoderm,(null),(null),123080,1,0.2940912
170,Chaetognatha,NON-COPEPOD,Chaetognath,(null),(null),2081,5,0.2940912
170,Echinoderm larvae,NON-COPEPOD,Echinoderm,(null),(null),1806,2,0.2940912
864,Clausocalanus jobei f (>1.2mm),COPEPOD,Copepod,Clausocalanus,jobei,104504,2,0.509004
103,Calocalanus pavo f,COPEPOD,Copepod,Calocalanus,pavo,104669,2,1.13112
