TRIP_CODE,TAXON_NAME,TAXON_GROUP,TAXON_GRP01,GENUS,SPECIES,SPCODE,ZOOP_ABUNDANCE_M3
NSI20130418,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,1.837
YON20130719,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,13.6012
PHB20130319,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,2.8291
PHB20130422,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,5.0519
MAI20130424,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,4.4204
YON20140717,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,20.4018
NSI20160120,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,6.4297
MAI20170412,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,1.5717
ROT20171123,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,15.3753
MAI20191015,Doliolum denticulatum,NON-COPEPOD,Thaliacean,Doliolum,denticulatum,137246,4.7151
KAI20100112,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,1.4145
KAI20190320,Doliolum oozoid spp.,NON-COPEPOD,Thaliacean,Doliolum,spp.,137222,7.0726
NSI20091015,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,3.2148
ESP20090623,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,23.5755
ESP20091216,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,11.7877
ROT20100520,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,3.9292
DAR20110627,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,4.3929
YON20110527,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,54.4049
ROT20110826,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,23.5755
PHB20130915,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,0.2406
MAI20130821,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,0.6028
PHB20131027,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,3.5363
KAI20140313,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,0.7073
ROT20140624,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,10.478
ROT20131218,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,15.717
KAI20140713,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,7.0726
YON20151027,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,5.4405
DAR20150505,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,7.8585
KAI20150629,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,1.4145
ROT20161004,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,11.7877
ROT20160621,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,78.5848
ROT20170802,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,15.717
DAR20170203_0630,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,20.8019
ROT20170428,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,7.8585
KAI20170908,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,63.6537
YON20180220,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,27.2024
DAR20180731_0630,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,18.6122
YON20190703,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,5.4405
NSI20200228,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,6.4297
PHB20191216,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,3.5363
ROT20200128,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,15.717
ROT20200304,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,15.717
ROT20191011,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,8.8408
ROT20200605,Ditrichocorycaeus dahli m,COPEPOD,Copepod,Ditrichocorycaeus,dahli,764980,8.8408
NIN20130806,Stomatopod,NON-COPEPOD,Decapod,,,14355,7.0726
YON20170816,Stomatopod,NON-COPEPOD,Decapod,,,14355,5.6581
PHB20110420,Corycaeus spp. m,COPEPOD,Copepod,Corycaeus,spp.,128634,1.1788
PHB20120917,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,9.0934
NSI20121114,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,6.4297
PHB20140911,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,19.8467
MAI20150224,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,0.943
NSI20180817,Thalia democratica sol,NON-COPEPOD,Thaliacean,Thalia,democratica,137279,6.4297
PHB20091206,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,67.19
ESP20100629,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,31.4339
PHB20120212,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,64.6641
ROT20130221,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,15.717
ROT20130423,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,94.3018
PHB20121009,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,24.7542
ROT20120928,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,3.9292
ROT20130125,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,115.9126
KAI20120415,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,3.5363
ROT20131017,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,70.7264
PHB20131027,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,21.2179
PHB20140612,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,10.9371
NSI20171116,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,6.4297
PHB20171024,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,199.802
MAI20180301,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,23.5755
ROT20171214,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,998.0275
MAI20180315,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,363.062
PHB20190121,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,144.989
ROT20190221,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,117.8773
ROT20190306,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,15.717
ROT20181211,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,691.5466
MAI20190106,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,817.7735
PHB20190408,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,657.7551
KAI20190909,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,17.6816
ROT20200128,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,180.7451
KAI20201123,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,2.0208
PHB20200922,Penilia avirostris f,NON-COPEPOD,Cladoceran,Penilia,avirostris,106272,120.2348
PHB20111018,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,7.0726
NSI20111220,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,6.4297
KAI20111026,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,4.2436
NSI20120229,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,3.2148
PHB20120212,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,18.1868
PHB20121009,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,70.7264
NSI20130819,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,2.1432
PHB20130725,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,56.5811
NSI20151027,Pseudevadne tergestina f,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,19.289
MAI20140205,Pseudevadne tergestina m,NON-COPEPOD,Cladoceran,Pseudevadne,tergestina,106278,3.102
PHB20150630,Oncaea clevei complex,COPEPOD,Copepod,Oncaea,clevei complex,354022,3.5363
NSI20140507,Lucicutia spp. m,COPEPOD,Copepod,Lucicutia,spp.,104183,3.2148
NSI20110412,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,220919,6.4297
DAR20120114_2130,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,220919,20.56
YON20130912,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,220919,6.8006
ROT20170523,Calanopia minor f,COPEPOD,Copepod,Calanopia,minor,220919,15.717
PHB20140317,Copilia mirabilis m,COPEPOD,Copepod,Copilia,mirabilis,129038,1.7682
NSI20190322,Copilia mirabilis m,COPEPOD,Copepod,Copilia,mirabilis,129038,12.8593
KAI20101213,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,3.5363
KAI20110223,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,0.9725
PHB20110329,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,1.7682
YON20110323,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,13.6012
NSI20110915,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,16.0742
MAI20110531,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.7364
PHB20111117,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.9123
NIN20110501,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,10.1038
KAI20120215,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,7.0726
MAI20120820,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.6522
ROT20120221,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,3.9292
PHB20130915,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,0.2406
PHB20120917,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,3.0311
PHB20121218,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,1.7682
MAI20130313,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,7.7357
MAI20130424,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,13.2612
PHB20140427,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,7.0726
YON20160927,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.7202
PHB20150225,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,7.0726
YON20150430,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.2669
PHB20151013,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,14.1453
NSI20151027,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,3.2148
ROT20161004,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,11.7877
MAI20160209,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,8.2514
MAI20170223,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,11.7877
PHB20170614,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,21.2179
PHB20161204,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,30.0587
MAI20170921,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,3.7721
NSI20171219,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,51.4374
MAI20180605,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,89.5867
MAI20171123,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,12.2592
NSI20180913,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,6.4297
MAI20180627,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,4.7151
ROT20190621,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,3.1434
MAI20200909,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,56.5811
NSI20191220,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,6.4297
PHB20200609,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,2.8291
PHB20191028,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,21.2179
MAI20200526,Oithona atlantica f,COPEPOD,Copepod,Oithona,atlantica,106642,66.0113
MAI20090601,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,342443,2.2102
MAI20090820,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,342443,2.0208
YON20091123,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,342443,6.8006
YON20100119,Clausocalanus brevipes f,COPEPOD,Copepod,Clausocalanus,brevipes,342443,10.2009
MAI20090601,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,2.2102
ESP20090623,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,220.0376
ROT20091026,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,7.8585
ESP20091216,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,3.9292
ROT20100416,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,7.8585
KAI20091215,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,1.7682
ROT20100617,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,34.5773
YON20101208,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,10.881
PHB20110517,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,0.1768
ROT20101215,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,3.9292
PHB20110619,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,0.7073
ESP20111130,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,125.7358
ROT20110725,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,196.4621
MAI20111026,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,2.2102
NSI20120620,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,6.4297
MAI20120820,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,0.442
ROT20121019,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,9.4302
ROT20130712,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,149.3112
ESP20120309,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,212.1791
YON20140717,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,6.8006
MAI20151001,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,4.7151
KAI20151116,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,3.5363
ROT20161004,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,94.3018
ROT20151215,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,7.8585
ROT20170407,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,204.3206
MAI20171217,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,1.5717
ROT20180620,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,15.717
YON20180602,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,1.4145
ROT20190221,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,31.4339
YON20190313,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,14.1453
YON20190917,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,7.0726
MAI20210106,Bryozoan (Cyphonaute larvae),NON-COPEPOD,Bryozoan,,,146142,2.8291
MAI20091013,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,4.4204
MAI20101027,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,1.7682
KAI20150224,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,3.5363
KAI20190320,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,14.1453
MAI20200810,Calanus australis f,COPEPOD,Copepod,Calanus,australis,345760,2.3575
MAI20110223,Calanus australis m,COPEPOD,Copepod,Calanus,australis,345760,2.2102
MAI20110531,Calanus australis m,COPEPOD,Copepod,Calanus,australis,345760,0.2105
MAI20130821,Calanus australis m,COPEPOD,Copepod,Calanus,australis,345760,0.2009
MAI20091111,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,4.4204
MAI20110725,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,1.4735
MAI20111005,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,2.5259
MAI20120119,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,2.2102
MAI20120820,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,15.9134
MAI20121017,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,5.3045
MAI20121112,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,4.4204
MAI20140516,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,0.5894
MAI20140807,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,1.1051
MAI20170323,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,9.4302
MAI20170921,Clausocalanus ingens f,COPEPOD,Copepod,Clausocalanus,ingens,345778,0.943
MAI20100527,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,104597,0.8841
YON20111027,Lucicutia flavicornis m,COPEPOD,Copepod,Lucicutia,flavicornis,104597,16.3215
ROT20110923,Lubbockia squillimana f,COPEPOD,Copepod,Lubbockia,squillimana,128894,3.9292
IIOE20190523,Lubbockia squillimana f,COPEPOD,Copepod,Lubbockia,squillimana,128894,3.5363
MAI20090716,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,3.0943
MAI20111005,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,11.3667
PHB20111018,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,3.5363
MAI20120412,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,1.7682
YON20130719,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,27.2024
PHB20140120,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,3.0381
PHB20140211,Clausocalanus pergens f,COPEPOD,Copepod,Clausocalanus,pergens,104509,4.9633
